Protein	NCBI TaxID,,Spiecies,,BacDive Strain ID,,Culture Collection No.,,Biosafety level,,Pathogenicity (animal),,Pathogenicity (human),,Pathogenicity (plant)
A0A023SJ65	1311,,Streptococcus agalactiae,,14713,,DSM-6784;DSM-6784,,2,,yes,,yes,,;;1311,,Streptococcus agalactiae,,14714,,DSM-16828;DSM-16828,,2,,yes,,yes,,;;1311,,Streptococcus agalactiae,,15553,,DSM-40231;DSM-40231,,1,,,,,,
A0A060GPS0	573,,Klebsiella pneumoniae,,7315,,DSM-20542;DSM-20542,,1,,,,,,;;573,,Klebsiella pneumoniae,,4968,,DSM-681;DSM-681,,2,,,,,,;;573,,Klebsiella pneumoniae,,131729,,DSM-102039;DSM-102039,,2,,,,,,;;573,,Klebsiella pneumoniae,,4959,,DSM-30104;DSM-30104,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4948,,DSM-2026;DSM-2026,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4950,,DSM-4799;DSM-4799,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4955,,DSM-11678;DSM-11678,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4958,,DSM-30102;DSM-30102,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4962,,DSM-26371;DSM-26371,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,5098,,DSM-4617;DSM-4617,,1,,yes,,yes,,
A0A072ZCT2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
A0A075N841	1311,,Streptococcus agalactiae,,14713,,DSM-6784;DSM-6784,,2,,yes,,yes,,;;1311,,Streptococcus agalactiae,,14714,,DSM-16828;DSM-16828,,2,,yes,,yes,,;;1311,,Streptococcus agalactiae,,15553,,DSM-40231;DSM-40231,,1,,,,,,
A0A075SC62	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
A0A075SF24	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
A0A075SGG6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
A0A075SSZ7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
A0A075ST50	N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
A0A081LXU2	573,,Klebsiella pneumoniae,,7315,,DSM-20542;DSM-20542,,1,,,,,,;;573,,Klebsiella pneumoniae,,4968,,DSM-681;DSM-681,,2,,,,,,;;573,,Klebsiella pneumoniae,,131729,,DSM-102039;DSM-102039,,2,,,,,,;;573,,Klebsiella pneumoniae,,4959,,DSM-30104;DSM-30104,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4948,,DSM-2026;DSM-2026,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4950,,DSM-4799;DSM-4799,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4955,,DSM-11678;DSM-11678,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4958,,DSM-30102;DSM-30102,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,4962,,DSM-26371;DSM-26371,,2,,yes,,yes,,;;573,,Klebsiella pneumoniae,,5098,,DSM-4617;DSM-4617,,1,,yes,,yes,,
