Protein	Accession	Accession.id
A0A023SJ65	Streptococcus agalactiae	http://www.bacterio.net/-allnamessz.html
A0A060GPS0	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A072ZCT2	Corynebacterium glutamicum	http://www.bacterio.net/-allnamesac.html
A0A075N841	Streptococcus agalactiae	http://www.bacterio.net/-allnamessz.html
A0A075SC62	Streptococcus suis	http://www.bacterio.net/-allnamessz.html
A0A075SF24	Streptococcus suis	http://www.bacterio.net/-allnamessz.html
A0A075SGG6	Streptococcus suis	http://www.bacterio.net/-allnamessz.html
A0A075SSZ7	Streptococcus suis	http://www.bacterio.net/-allnamessz.html
A0A075ST50	Streptococcus suis	http://www.bacterio.net/-allnamessz.html
A0A081LXU2	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A081M4L4	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A086IK37	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A098CEL8	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A0A7M2I7	Streptococcus suis	http://www.bacterio.net/-allnamessz.html
A0A0C4L5N0	Klebsiella pneumoniae subsp. pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A0C7KCY5	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A0C7KG64	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A0C7KIT7	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A0C7KJ69	Klebsiella pneumoniae	http://www.bacterio.net/-allnamesdl.html
A0A0E0U8I2	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0U8Q3	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0U955	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0U9B5	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0U9V4	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0U9W8	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UA00	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UA10	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UA27	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UA41	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UAL9	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UAM6	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UAS4	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UB30	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UB34	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UB51	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBA4	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBD5	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBD6	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBH9	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBL6	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBP0	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBU7	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBV5	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UBX6	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UC24	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UCM8	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
A0A0E0UCS0	Sinorhizobium meliloti	http://www.bacterio.net/-allnamessz.html
