Protein	Description,,Reference
A0A023SJ65	Streptococcus agalactiae,, Lehmann and Neumann 1896 (Approved Lists 1980), species.
A0A060GPS0	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A072ZCT2	Corynebacterium glutamicum,, (Kinoshita et al. 1958) Abe et al. 1967 (Approved Lists 1980), species.
A0A075N841	Streptococcus agalactiae,, Lehmann and Neumann 1896 (Approved Lists 1980), species.
A0A075SC62	Streptococcus suis,, (ex Elliot 1966) Kilpper-B&auml;lz and Schleifer 1987, sp. nov., nom. rev.
A0A075SF24	Streptococcus suis,, (ex Elliot 1966) Kilpper-B&auml;lz and Schleifer 1987, sp. nov., nom. rev.
A0A075SGG6	Streptococcus suis,, (ex Elliot 1966) Kilpper-B&auml;lz and Schleifer 1987, sp. nov., nom. rev.
A0A075SSZ7	Streptococcus suis,, (ex Elliot 1966) Kilpper-B&auml;lz and Schleifer 1987, sp. nov., nom. rev.
A0A075ST50	Streptococcus suis,, (ex Elliot 1966) Kilpper-B&auml;lz and Schleifer 1987, sp. nov., nom. rev.
A0A081LXU2	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A081M4L4	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A086IK37	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A098CEL8	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A0A7M2I7	Streptococcus suis,, (ex Elliot 1966) Kilpper-B&auml;lz and Schleifer 1987, sp. nov., nom. rev.
A0A0C4L5N0	Klebsiella pneumoniae subsp. pneumoniae,, (Schroeter 1886) &Oslash;rskov 1984, subsp. nov.
A0A0C7KCY5	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A0C7KG64	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A0C7KIT7	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A0C7KJ69	Klebsiella pneumoniae,, (Schroeter 1886) Trevisan 1887 (Approved Lists 1980), species.
A0A0E0U8I2	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0U8Q3	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0U955	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0U9B5	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0U9V4	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0U9W8	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UA00	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UA10	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UA27	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UA41	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UAL9	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UAM6	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UAS4	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UB30	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UB34	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UB51	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBA4	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBD5	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBD6	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBH9	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBL6	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBP0	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBU7	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBV5	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UBX6	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UC24	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCM8	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCS0	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCT0	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCT8	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCU7	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCU9	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCV1	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCX8	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UCY2	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UD17	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UD69	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UD90	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UD97	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UDD5	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UDL4	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UDW5	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UEF9	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UEH3	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
A0A0E0UET8	Sinorhizobium meliloti,, (Dangeard 1926) De Lajudie et al. 1994, comb. nov.
