Protein	Accession	Accession.id
A0A023SJ65	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
A0A060GPS0	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A072ZCT2	Corynebacterium	https://microbewiki.kenyon.edu/index.php/Corynebacterium
A0A075N841	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
A0A075SC62	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
A0A075SF24	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
A0A075SGG6	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
A0A075SSZ7	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
A0A075ST50	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
A0A081LXU2	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A081M4L4	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A086IK37	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A098CEL8	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A0A7M2I7	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
A0A0C4L5N0	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A0C7KCY5	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A0C7KG64	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A0C7KIT7	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A0C7KJ69	Klebsiella	https://microbewiki.kenyon.edu/index.php/Klebsiella
A0A0E0U8I2	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0U8Q3	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0U955	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0U9B5	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0U9V4	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0U9W8	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UA00	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UA10	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UA27	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UA41	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UAL9	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UAM6	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UAS4	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UB30	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UB34	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UB51	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBA4	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBD5	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBD6	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBH9	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBL6	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBP0	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBU7	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBV5	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UBX6	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UC24	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCM8	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCS0	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCT0	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCT8	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCU7	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCU9	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCV1	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCX8	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UCY2	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UD17	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UD69	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UD90	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UD97	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UDD5	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UDL4	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UDW5	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UEF9	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UEH3	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UET8	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UEW7	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UEX4	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UFF6	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UFH5	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UFJ1	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UFL2	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UG10	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UG46	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UGD4	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UGI2	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UGL8	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UH56	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UHM0	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UHQ8	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UHT8	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UHU9	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UHV7	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UI25	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UI36	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UIH3	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UII0	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UIQ4	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UJ54	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UJ98	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
A0A0E0UJC1	Sinorhizobium	https://microbewiki.kenyon.edu/index.php/Sinorhizobium
