Protein	Description,,Higher order taxa
A0A023SJ65	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A060GPS0	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A072ZCT2	Corynebacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium
A0A075N841	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A075SC62	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A075SF24	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A075SGG6	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A075SSZ7	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A075ST50	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A081LXU2	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A081M4L4	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A086IK37	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A098CEL8	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A0A7M2I7	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A0C4L5N0	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A0C7KCY5	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A0C7KG64	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A0C7KIT7	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A0C7KJ69	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A0E0U8I2	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0U8Q3	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0U955	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0U9B5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0U9V4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0U9W8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UA00	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UA10	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UA27	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UA41	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UAL9	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UAM6	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UAS4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UB30	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UB34	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UB51	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBA4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBD5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBD6	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBH9	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBL6	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBP0	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBU7	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBV5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UBX6	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UC24	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCM8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCS0	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCT0	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCT8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCU7	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCU9	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCV1	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCX8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UCY2	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UD17	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UD69	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UD90	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UD97	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UDD5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UDL4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UDW5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UEF9	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UEH3	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UET8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UEW7	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UEX4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UFF6	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UFH5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UFJ1	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UFL2	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UG10	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UG46	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UGD4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UGI2	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UGL8	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
