Protein	Tax_id,,Tax_name,,Species,,Genus,,Family,,Order,,Class,,Phylum,,Kingdom,,Superkingdom
A0A023SJ65	1311,,Streptococcus agalactiae,,,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A060GPS0	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A072ZCT2	1079988,,Corynebacterium glutamicum ATCC 14067,,Corynebacterium glutamicum,,Corynebacterium,,Corynebacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A075N841	1311,,Streptococcus agalactiae,,,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A075SC62	1214179,,Streptococcus suis 6407,,Streptococcus suis,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A075SF24	1214179,,Streptococcus suis 6407,,Streptococcus suis,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A075SGG6	1214179,,Streptococcus suis 6407,,Streptococcus suis,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A075SSZ7	1214179,,Streptococcus suis 6407,,Streptococcus suis,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A075ST50	1214179,,Streptococcus suis 6407,,Streptococcus suis,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A081LXU2	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A081M4L4	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A086IK37	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A098CEL8	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0A7M2I7	1307,,Streptococcus suis,,,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0C4L5N0	484021,,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,,Klebsiella pneumoniae,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0C7KCY5	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0C7KG64	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0C7KIT7	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0C7KJ69	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0U8I2	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0E0U8Q3	698936,,Sinorhizobium meliloti BL225C,,Sinorhizobium meliloti,,Sinorhizobium,,Rhizobiaceae,,Rhizobiales,,Alphaproteobacteria,,Proteobacteria,,,,Bacteria
