Protein	Host.TaxonID..Viral.ClusterID..Interaction.ID
A0A023SJ65	1311,,17621,,19020;;1311,,11871,,10178;;1311,,10448,,8685;;1311,,10112,,8238;;1311,,10065,,8178;;1311,,9673,,7725;;1311,,9592,,7641;;1311,,8955,,6920;;1311,,8262,,6215;;1311,,8159,,6121
A0A060GPS0	573,,26068,,158;;573,,25126,,5584;;573,,25125,,7128;;573,,25124,,157;;573,,21759,,28420;;573,,21175,,26856;;573,,18978,,22059;;573,,18460,,20894;;573,,18098,,20028;;573,,17897,,19594
A0A072ZCT2	
A0A075N841	1311,,17621,,19020;;1311,,11871,,10178;;1311,,10448,,8685;;1311,,10112,,8238;;1311,,10065,,8178;;1311,,9673,,7725;;1311,,9592,,7641;;1311,,8955,,6920;;1311,,8262,,6215;;1311,,8159,,6121
A0A075SC62	1214179,,14275,,13155;;1214179,,8811,,6760;;1214179,,7382,,5347
A0A075SF24	1214179,,14275,,13155;;1214179,,8811,,6760;;1214179,,7382,,5347
A0A075SGG6	1214179,,14275,,13155;;1214179,,8811,,6760;;1214179,,7382,,5347
A0A075SSZ7	1214179,,14275,,13155;;1214179,,8811,,6760;;1214179,,7382,,5347
A0A075ST50	1214179,,14275,,13155;;1214179,,8811,,6760;;1214179,,7382,,5347
A0A081LXU2	573,,26068,,158;;573,,25126,,5584;;573,,25125,,7128;;573,,25124,,157;;573,,21759,,28420;;573,,21175,,26856;;573,,18978,,22059;;573,,18460,,20894;;573,,18098,,20028;;573,,17897,,19594
A0A081M4L4	573,,26068,,158;;573,,25126,,5584;;573,,25125,,7128;;573,,25124,,157;;573,,21759,,28420;;573,,21175,,26856;;573,,18978,,22059;;573,,18460,,20894;;573,,18098,,20028;;573,,17897,,19594
A0A086IK37	573,,26068,,158;;573,,25126,,5584;;573,,25125,,7128;;573,,25124,,157;;573,,21759,,28420;;573,,21175,,26856;;573,,18978,,22059;;573,,18460,,20894;;573,,18098,,20028;;573,,17897,,19594
A0A098CEL8	573,,26068,,158;;573,,25126,,5584;;573,,25125,,7128;;573,,25124,,157;;573,,21759,,28420;;573,,21175,,26856;;573,,18978,,22059;;573,,18460,,20894;;573,,18098,,20028;;573,,17897,,19594
A0A0A7M2I7	1307,,19070,,22272;;1307,,17486,,18742;;1307,,16731,,17439;;1307,,11279,,9499;;1307,,4141,,2919;;1307,,2014,,1297;;1307,,953,,701
A0A0C4L5N0	
