Protein	Accession	Accession.id
A0A023SJ65		
A0A060GPS0		
A0A072ZCT2		
A0A075N841		
A0A075SC62		
A0A075SF24		
A0A075SGG6		
A0A075SSZ7		
A0A075ST50		
A0A081LXU2		
A0A081M4L4		
A0A086IK37		
A0A098CEL8		
A0A0A7M2I7		
A0A0C4L5N0		
A0A0C7KCY5		
A0A0C7KG64		
A0A0C7KIT7		
A0A0C7KJ69		
A0A0E0U8I2	SMEL698936:SINMEB_RS00240-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS00240-MONOMER
A0A0E0U8Q3	SMEL698936:SINMEB_RS00355-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS00355-MONOMER
A0A0E0U955	SMEL698936:SINMEB_RS01070-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS01070-MONOMER
A0A0E0U9B5	SMEL698936:SINMEB_RS00565-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS00565-MONOMER
A0A0E0U9V4	SMEL698936:SINMEB_RS02325-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS02325-MONOMER
A0A0E0U9W8	SMEL698936:SINMEB_RS02560-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS02560-MONOMER
A0A0E0UA00	SMEL698936:SINMEB_RS02735-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS02735-MONOMER
A0A0E0UA10	SMEL698936:SINMEB_RS01925-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS01925-MONOMER
A0A0E0UA27	SMEL698936:SINMEB_RS02025-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS02025-MONOMER
A0A0E0UA41	SMEL698936:SINMEB_RS02100-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS02100-MONOMER
A0A0E0UAL9	SMEL698936:SINMEB_RS03845-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS03845-MONOMER
A0A0E0UAM6	SMEL698936:SINMEB_RS04035-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS04035-MONOMER
A0A0E0UAS4	SMEL698936:SINMEB_RS03920-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS03920-MONOMER
A0A0E0UB30	SMEL698936:SINMEB_RS04830-MONOMER,SMEL698936:SINMEB_RS04910-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS04830-MONOMER,SMEL698936:SINMEB_RS04910-MONOMER
A0A0E0UB34	SMEL698936:SINMEB_RS03675-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS03675-MONOMER
A0A0E0UB51	SMEL698936:SINMEB_RS04930-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS04930-MONOMER
A0A0E0UBA4	SMEL698936:SINMEB_RS04075-MONOMER	http://biocyc.org/getid?id=SMEL698936:SINMEB_RS04075-MONOMER
