Protein	Accession	Accession.id
A0A023SJ65	fig|1311.128.peg.663	https://www.patricbrc.org/view/Feature/fig|1311.128.peg.663
A0A060GPS0	fig|573.1346.peg.1771	https://www.patricbrc.org/view/Feature/fig|573.1346.peg.1771
A0A072ZCT2		
A0A075N841	fig|1311.1180.peg.2144	https://www.patricbrc.org/view/Feature/fig|1311.1180.peg.2144
A0A075SC62	fig|1214179.4.peg.435	https://www.patricbrc.org/view/Feature/fig|1214179.4.peg.435
A0A075SF24	fig|1214179.4.peg.1575	https://www.patricbrc.org/view/Feature/fig|1214179.4.peg.1575
A0A075SGG6	fig|1214179.4.peg.384	https://www.patricbrc.org/view/Feature/fig|1214179.4.peg.384
A0A075SSZ7	fig|1214179.4.peg.1763	https://www.patricbrc.org/view/Feature/fig|1214179.4.peg.1763
A0A075ST50	fig|1214179.4.peg.1814	https://www.patricbrc.org/view/Feature/fig|1214179.4.peg.1814
A0A081LXU2	fig|573.1347.peg.3764	https://www.patricbrc.org/view/Feature/fig|573.1347.peg.3764
A0A081M4L4	fig|573.1346.peg.252	https://www.patricbrc.org/view/Feature/fig|573.1346.peg.252
A0A086IK37	fig|573.1347.peg.1205	https://www.patricbrc.org/view/Feature/fig|573.1347.peg.1205
A0A098CEL8	fig|573.1358.peg.1130	https://www.patricbrc.org/view/Feature/fig|573.1358.peg.1130
A0A0A7M2I7		
A0A0C4L5N0		
A0A0C7KCY5	fig|573.1346.peg.2019	https://www.patricbrc.org/view/Feature/fig|573.1346.peg.2019
A0A0C7KG64	fig|573.1358.peg.3391	https://www.patricbrc.org/view/Feature/fig|573.1358.peg.3391
A0A0C7KIT7	fig|573.1358.peg.2626	https://www.patricbrc.org/view/Feature/fig|573.1358.peg.2626
A0A0C7KJ69	fig|573.1353.peg.29	https://www.patricbrc.org/view/Feature/fig|573.1353.peg.29
A0A0E0U8I2		
A0A0E0U8Q3		
A0A0E0U955		
A0A0E0U9B5		
A0A0E0U9V4		
A0A0E0U9W8		
A0A0E0UA00		
A0A0E0UA10		
A0A0E0UA27		
A0A0E0UA41		
A0A0E0UAL9		
A0A0E0UAM6		
A0A0E0UAS4		
A0A0E0UB30		
A0A0E0UB34		
A0A0E0UB51		
A0A0E0UBA4		
A0A0E0UBD5		
A0A0E0UBD6		
A0A0E0UBH9		
A0A0E0UBL6		
A0A0E0UBP0		
A0A0E0UBU7		
A0A0E0UBV5		
A0A0E0UBX6		
A0A0E0UC24		
A0A0E0UCM8		
A0A0E0UCS0		
A0A0E0UCT0		
A0A0E0UCT8		
A0A0E0UCU7		
A0A0E0UCU9		
A0A0E0UCV1		
A0A0E0UCX8		
A0A0E0UCY2		
A0A0E0UD17		
A0A0E0UD69		
A0A0E0UD90		
A0A0E0UD97		
A0A0E0UDD5		
A0A0E0UDL4		
A0A0E0UDW5		
A0A0E0UEF9		
A0A0E0UEH3		
A0A0E0UET8		
A0A0E0UEW7		
A0A0E0UEX4		
A0A0E0UFF6		
A0A0E0UFH5		
A0A0E0UFJ1		
A0A0E0UFL2		
A0A0E0UG10		
A0A0E0UG46		
A0A0E0UGD4		
A0A0E0UGI2		
A0A0E0UGL8		
A0A0E0UH56		
A0A0E0UHM0		
A0A0E0UHQ8		
A0A0E0UHT8		
A0A0E0UHU9		
A0A0E0UHV7		
A0A0E0UI25		
A0A0E0UI36		
A0A0E0UIH3		
A0A0E0UII0		
A0A0E0UIQ4		
A0A0E0UJ54		
A0A0E0UJ98		
A0A0E0UJC1		
A0A0E0UKM9		
A0A0E0UKN7		
A0A0E0UKP1		
A0A0E0UKY1		
A0A0E0UL81		
A0A0E0ULB5		
A0A0E0ULH8		
A0A0E0UN93		
A0A0E0UN97		
A0A0E0UNG4		
A0A0E0UNJ4		
A0A0E0UNP3		
A0A0E0UPG1		
A0A0E0UPL1		
A0A0E0UPR3		
A0A0E0UPR9		
A0A0E0UPX2		
A0A0E0UQ72		
A0A0E0UQG5		
A0A0E0URT6		
A0A0E0UW41	fig|1030009.3.peg.1655	https://www.patricbrc.org/view/Feature/fig|1030009.3.peg.1655
A0A0E0UWC2	fig|1030009.3.peg.1644	https://www.patricbrc.org/view/Feature/fig|1030009.3.peg.1644
A0A0E1EET6	fig|1311.133.peg.17	https://www.patricbrc.org/view/Feature/fig|1311.133.peg.17
A0A0E1EL42	fig|1311.133.peg.800	https://www.patricbrc.org/view/Feature/fig|1311.133.peg.800
A0A0E1EN14	fig|1311.133.peg.1123	https://www.patricbrc.org/view/Feature/fig|1311.133.peg.1123
A0A0E1R974	fig|1230340.3.peg.235	https://www.patricbrc.org/view/Feature/fig|1230340.3.peg.235
A0A0E1Y3Q6	fig|702458.3.peg.1512	https://www.patricbrc.org/view/Feature/fig|702458.3.peg.1512
A0A0E2CSW4		
A0A0E2D3A7		
A0A0E3CNN1	fig|47715.100.peg.142	https://www.patricbrc.org/view/Feature/fig|47715.100.peg.142
A0A0E3CRJ7	fig|47715.100.peg.1397	https://www.patricbrc.org/view/Feature/fig|47715.100.peg.1397
A0A0F0JYS2	fig|573.1346.peg.5003	https://www.patricbrc.org/view/Feature/fig|573.1346.peg.5003
A0A0F6P9K5		
A0A0G2PF30		
A0A0G2Q9D4		
A0A0G2Q9D8		
A0A0G2Q9E8		
A0A0G2Q9E9		
A0A0G2Q9F8		
A0A0G2Q9F9		
A0A0G2Q9G0		
A0A0G2Q9H1		
A0A0G2Q9H2		
A0A0G2Q9I7		
A0A0G2Q9K0		
A0A0G2Q9L2		
A0A0G2Q9N7		
A0A0G2Q9N9		
A0A0H0YCP0	fig|663.71.peg.734	https://www.patricbrc.org/view/Feature/fig|663.71.peg.734
A0A0H0YG72	fig|663.71.peg.2180	https://www.patricbrc.org/view/Feature/fig|663.71.peg.2180
A0A0H0YGD0	fig|663.71.peg.2364	https://www.patricbrc.org/view/Feature/fig|663.71.peg.2364
A0A0H1NRE3	fig|1311.185.peg.1257	https://www.patricbrc.org/view/Feature/fig|1311.185.peg.1257
A0A0H1XJQ7		
A0A0H2UQ40		
A0A0H2USC0	fig|198214.7.peg.5294	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.5294
A0A0H2USF2	fig|198214.7.peg.367	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.367
A0A0H2USF3	fig|198214.7.peg.2292	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.2292
A0A0H2USG1	fig|198214.7.peg.5527	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.5527
A0A0H2USH9	fig|198214.7.peg.5490	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.5490
A0A0H2USM2	fig|198214.7.peg.5459	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.5459
A0A0H2USP0	fig|198214.7.peg.5369	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.5369
A0A0H2USP5	fig|198214.7.peg.5469	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.5469
A0A0H2USS8	fig|198214.7.peg.5364	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.5364
A0A0H2UWW5	fig|198214.7.peg.140	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.140
A0A0H2UWZ6	fig|198214.7.peg.217	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.217
A0A0H2UX03	fig|198214.7.peg.131	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.131
A0A0H2UX23	fig|198214.7.peg.1226	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1226
A0A0H2UX29	fig|198214.7.peg.204	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.204
A0A0H2UX95	fig|198214.7.peg.297	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.297
A0A0H2UXE8	fig|198214.7.peg.381	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.381
A0A0H2UXR4	fig|198214.7.peg.620	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.620
A0A0H2UXU2	fig|198214.7.peg.669	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.669
A0A0H2UXV0	fig|198214.7.peg.706	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.706
A0A0H2UXW2	fig|198214.7.peg.742	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.742
A0A0H2UY03	fig|198214.7.peg.841	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.841
A0A0H2UY50	fig|198214.7.peg.925	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.925
A0A0H2UY62	fig|198214.7.peg.901	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.901
A0A0H2UY65	fig|198214.7.peg.895	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.895
A0A0H2UY89	fig|198214.7.peg.955	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.955
A0A0H2UY99	fig|198214.7.peg.971	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.971
A0A0H2UYA8	fig|198214.7.peg.1025	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1025
A0A0H2UYC2	fig|198214.7.peg.244	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.244
A0A0H2UYC3	fig|198214.7.peg.1007	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1007
A0A0H2UYD2	fig|198214.7.peg.1022	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1022
A0A0H2UYJ4		
A0A0H2UYP6	fig|198214.7.peg.1288	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1288
A0A0H2UYV7	fig|198214.7.peg.1446	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1446
A0A0H2UYY2	fig|198214.7.peg.1494	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1494
A0A0H2UYY3	fig|198214.7.peg.1497	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1497
A0A0H2UYY9	fig|198214.7.peg.1881	https://www.patricbrc.org/view/Feature/fig|198214.7.peg.1881
