Protein	Genome ID,,Description,,# HIT
A0A023SJ65	CP007572,,Firmicutes : Streptococcus agalactiae GBS6,,80 sequence(s)
A0A060GPS0	N/A,,N/A,,N/A
A0A072ZCT2	N/A,,N/A,,N/A
A0A075N841	CP007572,,Firmicutes : Streptococcus agalactiae GBS6,,80 sequence(s)
A0A075SC62	CP008921,,Firmicutes : Streptococcus suis 6407,,57 sequence(s)
A0A075SF24	CP008921,,Firmicutes : Streptococcus suis 6407,,57 sequence(s)
A0A075SGG6	CP008921,,Firmicutes : Streptococcus suis 6407,,57 sequence(s)
A0A075SSZ7	CP008921,,Firmicutes : Streptococcus suis 6407,,57 sequence(s)
A0A075ST50	CP008921,,Firmicutes : Streptococcus suis 6407,,57 sequence(s)
A0A081LXU2	CP008929,,Gammaproteobacteria : Klebsiella pneumoniae PMK1,,86 sequence(s)
A0A081M4L4	CP008929,,Gammaproteobacteria : Klebsiella pneumoniae PMK1,,86 sequence(s)
A0A086IK37	CP008929,,Gammaproteobacteria : Klebsiella pneumoniae PMK1,,86 sequence(s)
A0A098CEL8	CP008929,,Gammaproteobacteria : Klebsiella pneumoniae PMK1,,86 sequence(s)
A0A0A7M2I7	N/A,,N/A,,N/A
A0A0C4L5N0	N/A,,N/A,,N/A
A0A0C7KCY5	CP008929,,Gammaproteobacteria : Klebsiella pneumoniae PMK1,,86 sequence(s)
A0A0C7KG64	CP008929,,Gammaproteobacteria : Klebsiella pneumoniae PMK1,,86 sequence(s)
A0A0C7KIT7	CP008929,,Gammaproteobacteria : Klebsiella pneumoniae PMK1,,86 sequence(s)
A0A0C7KJ69	CP008929,,Gammaproteobacteria : Klebsiella pneumoniae PMK1,,86 sequence(s)
A0A0E0U8I2	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0U8Q3	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0U955	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0U9B5	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0U9V4	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0U9W8	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UA00	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UA10	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UA27	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UA41	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UAL9	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UAM6	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UAS4	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UB30	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UB34	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UB51	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UBA4	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UBD5	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UBD6	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UBH9	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UBL6	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UBP0	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
A0A0E0UBU7	CP002740,,Alphaproteobacteria : Sinorhizobium meliloti BL225C,,52 sequence(s)
