Protein	Start Site,,End Site,,Family,,Description
A0A023SJ65	N/A,,N/A,,N/A,,N/A
A0A060GPS0	N/A,,N/A,,N/A,,N/A
A0A072ZCT2	N/A,,N/A,,N/A,,N/A
A0A075N841	1,,94,,MF_00580,,CH10,,10 kDa chaperonin [groS]
A0A075SC62	3,,458,,MF_02033,,FtsA,,Cell division protein FtsA [ftsA]
A0A075SF24	N/A,,N/A,,N/A,,N/A
A0A075SGG6	N/A,,N/A,,N/A,,N/A
A0A075SSZ7	240,,600,,MF_02065,,MltG,,Endolytic murein transglycosylase [mltG]
A0A075ST50	N/A,,N/A,,N/A,,N/A
A0A081LXU2	N/A,,N/A,,N/A,,N/A
A0A081M4L4	N/A,,N/A,,N/A,,N/A
A0A086IK37	N/A,,N/A,,N/A,,N/A
A0A098CEL8	N/A,,N/A,,N/A,,N/A
A0A0A7M2I7	N/A,,N/A,,N/A,,N/A
A0A0C4L5N0	N/A,,N/A,,N/A,,N/A
A0A0C7KCY5	N/A,,N/A,,N/A,,N/A
A0A0C7KG64	N/A,,N/A,,N/A,,N/A
A0A0C7KIT7	N/A,,N/A,,N/A,,N/A
A0A0C7KJ69	N/A,,N/A,,N/A,,N/A
A0A0E0U8I2	N/A,,N/A,,N/A,,N/A
A0A0E0U8Q3	N/A,,N/A,,N/A,,N/A
A0A0E0U955	1,,428,,MF_00111,,MurA,,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [murA]
A0A0E0U9B5	N/A,,N/A,,N/A,,N/A
A0A0E0U9V4	14,,311,,MF_00254,,Gly_tRNA_synth_alpha,,Glycine--tRNA ligase alpha subunit [glyQ]
A0A0E0U9W8	N/A,,N/A,,N/A,,N/A
A0A0E0UA00	N/A,,N/A,,N/A,,N/A
A0A0E0UA10	N/A,,N/A,,N/A,,N/A
A0A0E0UA27	2,,542,,MF_00600,,CH60,,60 kDa chaperonin [groL]
A0A0E0UA41	N/A,,N/A,,N/A,,N/A
A0A0E0UAL9	6,,337,,MF_00536,,PdxA,,4-hydroxythreonine-4-phosphate dehydrogenase [pdxA]
A0A0E0UAM6	N/A,,N/A,,N/A,,N/A
A0A0E0UAS4	3,,138,,MF_00451,,NDP_kinase,,Nucleoside diphosphate kinase [ndk]
