Protein	Family,,Description,,Region
A0A023SJ65	N/A,,N/A,,N/A
A0A060GPS0	N/A,,N/A,,N/A
A0A072ZCT2	N/A,,N/A,,N/A
A0A075N841	N/A,,N/A,,N/A
A0A075SC62	N/A,,N/A,,N/A
A0A075SF24	N/A,,N/A,,N/A
A0A075SGG6	N/A,,N/A,,N/A
A0A075SSZ7	N/A,,N/A,,N/A
A0A075ST50	N/A,,N/A,,N/A
A0A081LXU2	N/A,,N/A,,N/A
A0A081M4L4	N/A,,N/A,,N/A
A0A086IK37	N/A,,N/A,,N/A
A0A098CEL8	N/A,,N/A,,N/A
A0A0A7M2I7	N/A,,N/A,,N/A
A0A0C4L5N0	N/A,,N/A,,N/A
A0A0C7KCY5	N/A,,N/A,,N/A
A0A0C7KG64	N/A,,N/A,,N/A
A0A0C7KIT7	N/A,,N/A,,N/A
A0A0C7KJ69	N/A,,N/A,,N/A
A0A0E0U8I2	N/A,,N/A,,N/A
A0A0E0U8Q3	N/A,,N/A,,N/A
A0A0E0U955	N/A,,N/A,,N/A
A0A0E0U9B5	N/A,,N/A,,N/A
A0A0E0U9V4	N/A,,N/A,,N/A
A0A0E0U9W8	N/A,,N/A,,N/A
A0A0E0UA00	N/A,,N/A,,N/A
A0A0E0UA10	N/A,,N/A,,N/A
A0A0E0UA27	N/A,,N/A,,N/A
A0A0E0UA41	N/A,,N/A,,N/A
A0A0E0UAL9	N/A,,N/A,,N/A
A0A0E0UAM6	N/A,,N/A,,N/A
A0A0E0UAS4	N/A,,N/A,,N/A
A0A0E0UB30	N/A,,N/A,,N/A
A0A0E0UB34	N/A,,N/A,,N/A
A0A0E0UB51	N/A,,N/A,,N/A
A0A0E0UBA4	N/A,,N/A,,N/A
A0A0E0UBD5	N/A,,N/A,,N/A
A0A0E0UBD6	N/A,,N/A,,N/A
A0A0E0UBH9	N/A,,N/A,,N/A
A0A0E0UBL6	N/A,,N/A,,N/A
A0A0E0UBP0	N/A,,N/A,,N/A
A0A0E0UBU7	N/A,,N/A,,N/A
A0A0E0UBV5	N/A,,N/A,,N/A
A0A0E0UBX6	N/A,,N/A,,N/A
A0A0E0UC24	N/A,,N/A,,N/A
A0A0E0UCM8	N/A,,N/A,,N/A
A0A0E0UCS0	N/A,,N/A,,N/A
A0A0E0UCT0	N/A,,N/A,,N/A
A0A0E0UCT8	N/A,,N/A,,N/A
A0A0E0UCU7	N/A,,N/A,,N/A
A0A0E0UCU9	N/A,,N/A,,N/A
A0A0E0UCV1	N/A,,N/A,,N/A
A0A0E0UCX8	N/A,,N/A,,N/A
A0A0E0UCY2	N/A,,N/A,,N/A
A0A0E0UD17	N/A,,N/A,,N/A
A0A0E0UD69	N/A,,N/A,,N/A
A0A0E0UD90	N/A,,N/A,,N/A
A0A0E0UD97	N/A,,N/A,,N/A
A0A0E0UDD5	N/A,,N/A,,N/A
A0A0E0UDL4	N/A,,N/A,,N/A
A0A0E0UDW5	N/A,,N/A,,N/A
A0A0E0UEF9	N/A,,N/A,,N/A
A0A0E0UEH3	N/A,,N/A,,N/A
A0A0E0UET8	N/A,,N/A,,N/A
A0A0E0UEW7	N/A,,N/A,,N/A
A0A0E0UEX4	N/A,,N/A,,N/A
A0A0E0UFF6	N/A,,N/A,,N/A
A0A0E0UFH5	N/A,,N/A,,N/A
A0A0E0UFJ1	N/A,,N/A,,N/A
A0A0E0UFL2	N/A,,N/A,,N/A
A0A0E0UG10	N/A,,N/A,,N/A
A0A0E0UG46	N/A,,N/A,,N/A
A0A0E0UGD4	N/A,,N/A,,N/A
A0A0E0UGI2	N/A,,N/A,,N/A
A0A0E0UGL8	N/A,,N/A,,N/A
A0A0E0UH56	N/A,,N/A,,N/A
A0A0E0UHM0	N/A,,N/A,,N/A
A0A0E0UHQ8	N/A,,N/A,,N/A
A0A0E0UHT8	N/A,,N/A,,N/A
A0A0E0UHU9	N/A,,N/A,,N/A
A0A0E0UHV7	N/A,,N/A,,N/A
A0A0E0UI25	N/A,,N/A,,N/A
A0A0E0UI36	N/A,,N/A,,N/A
A0A0E0UIH3	N/A,,N/A,,N/A
A0A0E0UII0	N/A,,N/A,,N/A
A0A0E0UIQ4	N/A,,N/A,,N/A
A0A0E0UJ54	N/A,,N/A,,N/A
A0A0E0UJ98	N/A,,N/A,,N/A
A0A0E0UJC1	N/A,,N/A,,N/A
A0A0E0UKM9	N/A,,N/A,,N/A
A0A0E0UKN7	N/A,,N/A,,N/A
A0A0E0UKP1	N/A,,N/A,,N/A
A0A0E0UKY1	N/A,,N/A,,N/A
A0A0E0UL81	N/A,,N/A,,N/A
A0A0E0ULB5	N/A,,N/A,,N/A
A0A0E0ULH8	N/A,,N/A,,N/A
A0A0E0UN93	N/A,,N/A,,N/A
A0A0E0UN97	N/A,,N/A,,N/A
A0A0E0UNG4	N/A,,N/A,,N/A
A0A0E0UNJ4	N/A,,N/A,,N/A
A0A0E0UNP3	N/A,,N/A,,N/A
A0A0E0UPG1	N/A,,N/A,,N/A
A0A0E0UPL1	N/A,,N/A,,N/A
A0A0E0UPR3	N/A,,N/A,,N/A
A0A0E0UPR9	N/A,,N/A,,N/A
A0A0E0UPX2	N/A,,N/A,,N/A
A0A0E0UQ72	N/A,,N/A,,N/A
A0A0E0UQG5	N/A,,N/A,,N/A
A0A0E0URT6	N/A,,N/A,,N/A
A0A0E0UW41	N/A,,N/A,,N/A
A0A0E0UWC2	N/A,,N/A,,N/A
A0A0E1EET6	N/A,,N/A,,N/A
A0A0E1EL42	N/A,,N/A,,N/A
A0A0E1EN14	N/A,,N/A,,N/A
A0A0E1R974	N/A,,N/A,,N/A
A0A0E1Y3Q6	N/A,,N/A,,N/A
A0A0E2CSW4	N/A,,N/A,,N/A
A0A0E2D3A7	N/A,,N/A,,N/A
A0A0E3CNN1	N/A,,N/A,,N/A
A0A0E3CRJ7	N/A,,N/A,,N/A
A0A0F0JYS2	N/A,,N/A,,N/A
A0A0F6P9K5	N/A,,N/A,,N/A
A0A0G2PF30	N/A,,N/A,,N/A
A0A0G2Q9D4	N/A,,N/A,,N/A
A0A0G2Q9D8	N/A,,N/A,,N/A
A0A0G2Q9E8	N/A,,N/A,,N/A
A0A0G2Q9E9	N/A,,N/A,,N/A
A0A0G2Q9F8	N/A,,N/A,,N/A
A0A0G2Q9F9	N/A,,N/A,,N/A
A0A0G2Q9G0	N/A,,N/A,,N/A
A0A0G2Q9H1	N/A,,N/A,,N/A
A0A0G2Q9H2	N/A,,N/A,,N/A
A0A0G2Q9I7	N/A,,N/A,,N/A
A0A0G2Q9K0	N/A,,N/A,,N/A
A0A0G2Q9L2	N/A,,N/A,,N/A
A0A0G2Q9N7	N/A,,N/A,,N/A
A0A0G2Q9N9	N/A,,N/A,,N/A
A0A0H0YCP0	N/A,,N/A,,N/A
A0A0H0YG72	N/A,,N/A,,N/A
A0A0H0YGD0	N/A,,N/A,,N/A
A0A0H1NRE3	N/A,,N/A,,N/A
A0A0H1XJQ7	N/A,,N/A,,N/A
A0A0H2UQ40	N/A,,N/A,,N/A
A0A0H2USC0	N/A,,N/A,,N/A
A0A0H2USF2	N/A,,N/A,,N/A
A0A0H2USF3	N/A,,N/A,,N/A
A0A0H2USG1	N/A,,N/A,,N/A
A0A0H2USH9	N/A,,N/A,,N/A
A0A0H2USM2	N/A,,N/A,,N/A
A0A0H2USP0	N/A,,N/A,,N/A
A0A0H2USP5	N/A,,N/A,,N/A
A0A0H2USS8	N/A,,N/A,,N/A
A0A0H2UWW5	N/A,,N/A,,N/A
A0A0H2UWZ6	N/A,,N/A,,N/A
A0A0H2UX03	N/A,,N/A,,N/A
A0A0H2UX23	N/A,,N/A,,N/A
A0A0H2UX29	N/A,,N/A,,N/A
A0A0H2UX95	N/A,,N/A,,N/A
A0A0H2UXE8	N/A,,N/A,,N/A
A0A0H2UXR4	N/A,,N/A,,N/A
A0A0H2UXU2	N/A,,N/A,,N/A
A0A0H2UXV0	N/A,,N/A,,N/A
A0A0H2UXW2	N/A,,N/A,,N/A
A0A0H2UY03	N/A,,N/A,,N/A
A0A0H2UY50	N/A,,N/A,,N/A
A0A0H2UY62	N/A,,N/A,,N/A
A0A0H2UY65	N/A,,N/A,,N/A
A0A0H2UY89	N/A,,N/A,,N/A
A0A0H2UY99	N/A,,N/A,,N/A
A0A0H2UYA8	N/A,,N/A,,N/A
A0A0H2UYC2	N/A,,N/A,,N/A
A0A0H2UYC3	N/A,,N/A,,N/A
A0A0H2UYD2	N/A,,N/A,,N/A
A0A0H2UYJ4	N/A,,N/A,,N/A
A0A0H2UYP6	N/A,,N/A,,N/A
A0A0H2UYV7	N/A,,N/A,,N/A
A0A0H2UYY2	N/A,,N/A,,N/A
A0A0H2UYY3	N/A,,N/A,,N/A
A0A0H2UYY9	N/A,,N/A,,N/A
A0A0H2UZ04	N/A,,N/A,,N/A
A0A0H2UZ60	N/A,,N/A,,N/A
A0A0H2UZ75	N/A,,N/A,,N/A
A0A0H2UZI2	N/A,,N/A,,N/A
A0A0H2UZL0	N/A,,N/A,,N/A
A0A0H2UZM7	N/A,,N/A,,N/A
A0A0H2UZP6	N/A,,N/A,,N/A
A0A0H2UZP8	N/A,,N/A,,N/A
A0A0H2UZQ6	N/A,,N/A,,N/A
A0A0H2UZT5	N/A,,N/A,,N/A
A0A0H2UZX5	N/A,,N/A,,N/A
A0A0H2UZZ8	N/A,,N/A,,N/A
A0A0H2V013	N/A,,N/A,,N/A
A0A0H2V042	N/A,,N/A,,N/A
A0A0H2V062	N/A,,N/A,,N/A
A0A0H2V075	N/A,,N/A,,N/A
A0A0H2V0B5	N/A,,N/A,,N/A
A0A0H2V0C3	N/A,,N/A,,N/A
A0A0H2V0C8	N/A,,N/A,,N/A
A0A0H2V0D7	N/A,,N/A,,N/A
A0A0H2V0E5	N/A,,N/A,,N/A
A0A0H2V0F8	N/A,,N/A,,N/A
A0A0H2V0J1	N/A,,N/A,,N/A
A0A0H2V0L8	N/A,,N/A,,N/A
A0A0H2V0M8	N/A,,N/A,,N/A
A0A0H2V0Q5	N/A,,N/A,,N/A
A0A0H2V0R7	N/A,,N/A,,N/A
A0A0H2V0T8	N/A,,N/A,,N/A
A0A0H2V0W2	N/A,,N/A,,N/A
A0A0H2V0Y6	N/A,,N/A,,N/A
A0A0H2V0Z7	N/A,,N/A,,N/A
A0A0H2V104	N/A,,N/A,,N/A
A0A0H2V107	N/A,,N/A,,N/A
A0A0H2V132	N/A,,N/A,,N/A
A0A0H2V137	N/A,,N/A,,N/A
A0A0H2V170	N/A,,N/A,,N/A
A0A0H2V179	N/A,,N/A,,N/A
A0A0H2V1A9	N/A,,N/A,,N/A
A0A0H2V1B5	N/A,,N/A,,N/A
A0A0H2V1E3	N/A,,N/A,,N/A
A0A0H2V1J2	N/A,,N/A,,N/A
A0A0H2V1J5	N/A,,N/A,,N/A
A0A0H2V1M4	N/A,,N/A,,N/A
A0A0H2V1N8	N/A,,N/A,,N/A
A0A0H2V1P4	N/A,,N/A,,N/A
A0A0H2V1Q4	N/A,,N/A,,N/A
A0A0H2V1U5	N/A,,N/A,,N/A
A0A0H2V1V4	N/A,,N/A,,N/A
A0A0H2V1V9	N/A,,N/A,,N/A
A0A0H2V1Z0	N/A,,N/A,,N/A
A0A0H2V203	N/A,,N/A,,N/A
A0A0H2V252	N/A,,N/A,,N/A
A0A0H2V292	N/A,,N/A,,N/A
A0A0H2V2A5	N/A,,N/A,,N/A
A0A0H2V2A8	N/A,,N/A,,N/A
A0A0H2V2B5	N/A,,N/A,,N/A
A0A0H2V2L0	N/A,,N/A,,N/A
A0A0H2V2S3	N/A,,N/A,,N/A
A0A0H2V2U9	N/A,,N/A,,N/A
A0A0H2V2V7	N/A,,N/A,,N/A
A0A0H2V2Y1	N/A,,N/A,,N/A
A0A0H2V2Y7	N/A,,N/A,,N/A
A0A0H2V2Z3	N/A,,N/A,,N/A
A0A0H2V371	N/A,,N/A,,N/A
A0A0H2V3A5	N/A,,N/A,,N/A
A0A0H2V3C6	N/A,,N/A,,N/A
A0A0H2V3I9	N/A,,N/A,,N/A
A0A0H2V3M4	N/A,,N/A,,N/A
A0A0H2V3M9	N/A,,N/A,,N/A
A0A0H2V3N4	N/A,,N/A,,N/A
A0A0H2V3P9	N/A,,N/A,,N/A
A0A0H2V3Q5	N/A,,N/A,,N/A
A0A0H2V3S2	N/A,,N/A,,N/A
A0A0H2V3S3	N/A,,N/A,,N/A
A0A0H2V3V0	N/A,,N/A,,N/A
A0A0H2V407	N/A,,N/A,,N/A
A0A0H2V442	N/A,,N/A,,N/A
A0A0H2V488	N/A,,N/A,,N/A
A0A0H2V555	N/A,,N/A,,N/A
A0A0H2V5C4	N/A,,N/A,,N/A
A0A0H2V5L0	N/A,,N/A,,N/A
A0A0H2VSM9	N/A,,N/A,,N/A
A0A0H2VSS8	N/A,,N/A,,N/A
A0A0H2VT45	N/A,,N/A,,N/A
A0A0H2VT54	N/A,,N/A,,N/A
A0A0H2VT81	N/A,,N/A,,N/A
A0A0H2VTA6	N/A,,N/A,,N/A
A0A0H2VTF9	N/A,,N/A,,N/A
A0A0H2VTI8	N/A,,N/A,,N/A
A0A0H2VTK0	N/A,,N/A,,N/A
A0A0H2VTU0	N/A,,N/A,,N/A
A0A0H2VTW3	N/A,,N/A,,N/A
A0A0H2VTY7	N/A,,N/A,,N/A
A0A0H2VTZ4	N/A,,N/A,,N/A
