Protein	Description
A0A023SJ65	N/A
A0A060GPS0	N/A
A0A072ZCT2	N/A
A0A075N841	GCF_900078265:G1FMF-2214-MONOMER
A0A075SC62	N/A
A0A075SF24	N/A
A0A075SGG6	N/A
A0A075SSZ7	N/A
A0A075ST50	N/A
A0A081LXU2	N/A
A0A081M4L4	N/A
A0A086IK37	N/A
A0A098CEL8	N/A
A0A0A7M2I7	N/A
A0A0C4L5N0	N/A
A0A0C7KCY5	N/A
A0A0C7KG64	GCF_001663195:G1EV0-3485-MONOMER;;GCF_001704235:G1F2N-2353-MONOMER;;GCF_001750805:BH709_RS08815-MONOMER;;GCF_001902395:G1FIF-3459-MONOMER
A0A0C7KIT7	GCF_001663195:G1EV0-4265-MONOMER;;GCF_001709275:G1F3N-2902-MONOMER;;GCF_001709295:G1F3M-1571-MONOMER;;GCF_001750805:BH709_RS04965-MONOMER;;GCF_001902395:G1FIF-4239-MONOMER
A0A0C7KJ69	N/A
A0A0E0U8I2	SMEL698936:SINMEB_RS00240-MONOMER
A0A0E0U8Q3	SMEL698936:SINMEB_RS00355-MONOMER
A0A0E0U955	SMEL698936:SINMEB_RS01070-MONOMER
A0A0E0U9B5	SMEL698936:SINMEB_RS00565-MONOMER
A0A0E0U9V4	SMEL698936:SINMEB_RS02325-MONOMER
A0A0E0U9W8	SMEL698936:SINMEB_RS02560-MONOMER
A0A0E0UA00	SMEL698936:SINMEB_RS02735-MONOMER
A0A0E0UA10	SMEL698936:SINMEB_RS01925-MONOMER
A0A0E0UA27	SMEL698936:SINMEB_RS02025-MONOMER
A0A0E0UA41	SMEL698936:SINMEB_RS02100-MONOMER
A0A0E0UAL9	SMEL698936:SINMEB_RS03845-MONOMER
A0A0E0UAM6	SMEL698936:SINMEB_RS04035-MONOMER
A0A0E0UAS4	SMEL698936:SINMEB_RS03920-MONOMER
A0A0E0UB30	SMEL698936:SINMEB_RS04830-MONOMER;;SMEL698936:SINMEB_RS04910-MONOMER
A0A0E0UB34	SMEL698936:SINMEB_RS03675-MONOMER
A0A0E0UB51	SMEL698936:SINMEB_RS04930-MONOMER
A0A0E0UBA4	SMEL698936:SINMEB_RS04075-MONOMER
A0A0E0UBD5	SMEL698936:SINMEB_RS05065-MONOMER
A0A0E0UBD6	SMEL698936:SINMEB_RS05380-MONOMER
A0A0E0UBH9	SMEL698936:SINMEB_RS04520-MONOMER
A0A0E0UBL6	SMEL698936:SINMEB_RS04725-MONOMER
A0A0E0UBP0	SMEL698936:SINMEB_RS05695-MONOMER
A0A0E0UBU7	SMEL698936:SINMEB_RS04015-MONOMER
A0A0E0UBV5	SMEL698936:SINMEB_RS06160-MONOMER
A0A0E0UBX6	SMEL698936:SINMEB_RS04135-MONOMER
A0A0E0UC24	SMEL698936:SINMEB_RS04385-MONOMER
A0A0E0UCM8	SMEL698936:SINMEB_RS05385-MONOMER
A0A0E0UCS0	SMEL698936:SINMEB_RS07595-MONOMER
A0A0E0UCT0	SMEL698936:SINMEB_RS07640-MONOMER
A0A0E0UCT8	SMEL698936:SINMEB_RS07690-MONOMER
A0A0E0UCU7	SMEL698936:SINMEB_RS07740-MONOMER
A0A0E0UCU9	SMEL698936:SINMEB_RS05635-MONOMER
A0A0E0UCV1	SMEL698936:SINMEB_RS07765-MONOMER
A0A0E0UCX8	SMEL698936:SINMEB_RS08105-MONOMER
A0A0E0UCY2	SMEL698936:SINMEB_RS05835-MONOMER
A0A0E0UD17	SMEL698936:SINMEB_RS08145-MONOMER
A0A0E0UD69	SMEL698936:SINMEB_RS07530-MONOMER
A0A0E0UD90	SMEL698936:SINMEB_RS07625-MONOMER
A0A0E0UD97	SMEL698936:SINMEB_RS07650-MONOMER
A0A0E0UDD5	SMEL698936:SINMEB_RS07820-MONOMER
A0A0E0UDL4	N/A
A0A0E0UDW5	SMEL698936:SINMEB_RS09715-MONOMER
A0A0E0UEF9	SMEL698936:SINMEB_RS10825-MONOMER
A0A0E0UEH3	SMEL698936:SINMEB_RS09770-MONOMER
A0A0E0UET8	SMEL698936:SINMEB_RS11065-MONOMER
A0A0E0UEW7	SMEL698936:SINMEB_RS11665-MONOMER
A0A0E0UEX4	SMEL698936:SINMEB_RS11465-MONOMER
A0A0E0UFF6	SMEL698936:SINMEB_RS12440-MONOMER
A0A0E0UFH5	SMEL698936:SINMEB_RS12365-MONOMER
A0A0E0UFJ1	SMEL698936:SINMEB_RS12460-MONOMER
A0A0E0UFL2	SMEL698936:SINMEB_RS12770-MONOMER
A0A0E0UG10	SMEL698936:SINMEB_RS11375-MONOMER
A0A0E0UG46	SMEL698936:SINMEB_RS13620-MONOMER
A0A0E0UGD4	SMEL698936:SINMEB_RS14380-MONOMER
A0A0E0UGI2	SMEL698936:SINMEB_RS13120-MONOMER
A0A0E0UGL8	SMEL698936:SINMEB_RS13325-MONOMER
A0A0E0UH56	SMEL698936:SINMEB_RS14375-MONOMER
A0A0E0UHM0	N/A
A0A0E0UHQ8	SMEL698936:SINMEB_RS16810-MONOMER
A0A0E0UHT8	SMEL698936:SINMEB_RS16435-MONOMER
A0A0E0UHU9	SMEL698936:SINMEB_RS16745-MONOMER
A0A0E0UHV7	SMEL698936:SINMEB_RS16800-MONOMER
A0A0E0UI25	SMEL698936:SINMEB_RS17150-MONOMER
A0A0E0UI36	SMEL698936:SINMEB_RS16965-MONOMER
A0A0E0UIH3	SMEL698936:SINMEB_RS16750-MONOMER
A0A0E0UII0	SMEL698936:SINMEB_RS15790-MONOMER
A0A0E0UIQ4	SMEL698936:SINMEB_RS17280-MONOMER
A0A0E0UJ54	N/A
A0A0E0UJ98	SMEL698936:SINMEB_RS19300-MONOMER
A0A0E0UJC1	SMEL698936:SINMEB_RS18395-MONOMER
A0A0E0UKM9	SMEL698936:SINMEB_RS21925-MONOMER
A0A0E0UKN7	SMEL698936:SINMEB_RS21910-MONOMER
A0A0E0UKP1	SMEL698936:SINMEB_RS34655-MONOMER
A0A0E0UKY1	N/A
A0A0E0UL81	N/A
A0A0E0ULB5	SMEL698936:SINMEB_RS23230-MONOMER
A0A0E0ULH8	SMEL698936:SINMEB_RS21905-MONOMER
A0A0E0UN93	SMEL698936:SINMEB_RS25900-MONOMER
A0A0E0UN97	SMEL698936:SINMEB_RS26835-MONOMER
A0A0E0UNG4	SMEL698936:SINMEB_RS26915-MONOMER
A0A0E0UNJ4	N/A
A0A0E0UNP3	SMEL698936:SINMEB_RS26090-MONOMER
A0A0E0UPG1	SMEL698936:SINMEB_RS28820-MONOMER
A0A0E0UPL1	SMEL698936:SINMEB_RS28355-MONOMER
A0A0E0UPR3	N/A
A0A0E0UPR9	SMEL698936:SINMEB_RS29550-MONOMER
A0A0E0UPX2	SMEL698936:SINMEB_RS28805-MONOMER
A0A0E0UQ72	SMEL698936:SINMEB_RS30180-MONOMER
A0A0E0UQG5	SMEL698936:SINMEB_RS29780-MONOMER
A0A0E0URT6	N/A
A0A0E0UW41	LMON1030009:G1GYP-1698-MONOMER
A0A0E0UWC2	LMON1030009:G1GYP-1687-MONOMER
A0A0E1EET6	GCF_001546715-HMP:HMPREF1881_RS10885-MONOMER;;GCF_001712835:G1F3R-52-MONOMER;;GCF_001932715:G1FKN-51-MONOMER;;SAGA1309806:G1HIP-51-MONOMER
A0A0E1EL42	N/A
A0A0E1EN14	GCF_001546715-HMP:HMPREF1881_RS03050-MONOMER;;GCF_001712835:G1F3R-1239-MONOMER;;SAGA1309806:G1HIP-1158-MONOMER
A0A0E1R974	LMON1230340:G1HD8-233-MONOMER
A0A0E1Y3Q6	N/A
A0A0E2CSW4	N/A
A0A0E2D3A7	LINT1049938:G11KK-3797-MONOMER
A0A0E3CNN1	N/A
A0A0E3CRJ7	N/A
A0A0F0JYS2	N/A
A0A0F6P9K5	N/A
A0A0G2PF30	MBOV410289:G1G1S-31-MONOMER;;MBOV410289:G1G1S-4359-MONOMER
