Protein	PI.isoelectric.point...MW.molecular.weight.
A0A023SJ65	5.11,,34848.41
A0A060GPS0	4.2,,15838.38
A0A072ZCT2	5.07,,91205.15
A0A075N841	4.75,,9675.07
A0A075SC62	4.81,,50404.42
A0A075SF24	4.78,,37421.57
A0A075SGG6	6.41,,71540.23
A0A075SSZ7	4.54,,67172.2
A0A075ST50	5.53,,39211.21
A0A081LXU2	6.31,,140510.55
A0A081M4L4	9.9,,7998.42
A0A086IK37	5.43,,41287.31
A0A098CEL8	10,,12316.47
A0A0A7M2I7	5.84,,42844.12
A0A0C4L5N0	6,,84389.88
A0A0C7KCY5	7.12,,45120.9
A0A0C7KG64	5.06,,98702.6
A0A0C7KIT7	5.62,,45545.24
A0A0C7KJ69	6,,84389.88
A0A0E0U8I2	5.53,,15938.22
A0A0E0U8Q3	5.59,,31214.19
A0A0E0U955	6.57,,45434.16
A0A0E0U9B5	8.34,,38176.24
A0A0E0U9V4	5.29,,35993.59
A0A0E0U9W8	5.83,,38264.51
A0A0E0UA00	5.1,,97560.98
A0A0E0UA10	6.02,,27207.46
A0A0E0UA27	4.96,,57673.35
A0A0E0UA41	5.18,,46952.8
A0A0E0UAL9	5.71,,35613.1
A0A0E0UAM6	8.6,,55836
A0A0E0UAS4	5.66,,15242.3
A0A0E0UB30	5.28,,42748.88
A0A0E0UB34	5.73,,36238.92
A0A0E0UB51	9.93,,10444.17
A0A0E0UBA4	5.1,,57984.5
A0A0E0UBD5	5.67,,48279.71
A0A0E0UBD6	4.69,,48812.13
A0A0E0UBH9	5.24,,60329.96
A0A0E0UBL6	4.79,,25594.04
A0A0E0UBP0	6.02,,48002.08
A0A0E0UBU7	4.98,,36329.74
A0A0E0UBV5	9.07,,38050.56
A0A0E0UBX6	6.62,,46732.29
A0A0E0UC24	9.15,,9303.44
A0A0E0UCM8	6.07,,46140.29
A0A0E0UCS0	5.74,,29007.54
A0A0E0UCT0	4.4,,12092.76
A0A0E0UCT8	8.89,,72728.54
A0A0E0UCU7	5.08,,32571.32
A0A0E0UCU9	5.83,,24895.67
A0A0E0UCV1	6.34,,54847.68
A0A0E0UCX8	4.38,,29894.73
A0A0E0UCY2	5.74,,32459.11
A0A0E0UD17	5.52,,34741.06
A0A0E0UD69	5.92,,48813.98
A0A0E0UD90	4.87,,79229.48
A0A0E0UD97	5.87,,46130.08
A0A0E0UDD5	9,,48180.84
A0A0E0UDL4	6.24,,32753.56
A0A0E0UDW5	4.73,,18797.96
A0A0E0UEF9	5.1,,22160.99
A0A0E0UEH3	6.21,,96339.6
A0A0E0UET8	6.7,,19157
A0A0E0UEW7	5.59,,95505.24
A0A0E0UEX4	9.82,,50002.67
A0A0E0UFF6	10.9,,10576.23
A0A0E0UFH5	5.27,,19940.98
A0A0E0UFJ1	5.61,,36803.86
A0A0E0UFL2	6.23,,48425.57
A0A0E0UG10	5.27,,19891.49
A0A0E0UG46	4.79,,33599.37
A0A0E0UGD4	4.97,,42134.56
A0A0E0UGI2	5.39,,16647.46
A0A0E0UGL8	5.37,,58131.53
A0A0E0UH56	6.86,,30927.7
A0A0E0UHM0	9.15,,67099.31
A0A0E0UHQ8	5.11,,62653.83
A0A0E0UHT8	4.91,,68949.85
A0A0E0UHU9	9.91,,10133.66
A0A0E0UHV7	5.55,,47899.99
A0A0E0UI25	5.65,,47091.2
A0A0E0UI36	5.13,,40224.81
A0A0E0UIH3	5.15,,77641.68
A0A0E0UII0	5.36,,47774.39
A0A0E0UIQ4	6.51,,35674.41
A0A0E0UJ54	5.88,,94292.75
A0A0E0UJ98	5.08,,57521.95
A0A0E0UJC1	5,,57701.45
A0A0E0UKM9	9.46,,17966.59
A0A0E0UKN7	5.46,,56498.82
A0A0E0UKP1	5.49,,11503.29
A0A0E0UKY1	9.68,,5809.7
A0A0E0UL81	5.78,,13507.55
A0A0E0ULB5	6.47,,27964.85
A0A0E0ULH8	5.35,,32014.74
A0A0E0UN93	5.73,,40174.57
A0A0E0UN97	5.08,,69253.23
A0A0E0UNG4	5.25,,44058.32
A0A0E0UNJ4	9.51,,45618.93
A0A0E0UNP3	5.27,,57905.34
A0A0E0UPG1	5.14,,12893.8
A0A0E0UPL1	5.06,,24316.42
A0A0E0UPR3	5.53,,59025.63
A0A0E0UPR9	6.73,,25944.75
A0A0E0UPX2	5.11,,21717.69
A0A0E0UQ72	6.91,,22856.22
A0A0E0UQG5	5.16,,39812.09
A0A0E0URT6	5.15,,51066.09
A0A0E0UW41	4.98,,16867.08
A0A0E0UWC2	5.39,,62615.9
A0A0E1EET6	7.86,,44211.93
A0A0E1EL42	4.47,,59200.86
A0A0E1EN14	4.81,,63270.35
A0A0E1R974	5.3,,32203.78
A0A0E1Y3Q6	4.69,,44959.82
A0A0E2CSW4	7.9,,4812.72
A0A0E2D3A7	9.4,,4865.77
A0A0E3CNN1	5.11,,47171.02
A0A0E3CRJ7	5.53,,36723.47
A0A0F0JYS2	6.05,,44568.29
A0A0F6P9K5	4.52,,37080.05
A0A0G2PF30	10.11,,40944.48
A0A0G2Q9D4	4.81,,42055.05
A0A0G2Q9D8	8.97,,31072.98
A0A0G2Q9E8	6.74,,37018.26
A0A0G2Q9E9	5.93,,37548.9
A0A0G2Q9F8	5.41,,92345.39
A0A0G2Q9F9	11.41,,15680.91
A0A0G2Q9G0	5.81,,19239.4
A0A0G2Q9H1	5.54,,21948.81
A0A0G2Q9H2	7.11,,38937.76
A0A0G2Q9I7	9.17,,46425.83
A0A0G2Q9K0	5.73,,24842.53
A0A0G2Q9L2	4.98,,24225.07
A0A0G2Q9N7	5.4,,35584.99
A0A0G2Q9N9	6.36,,43911.53
A0A0H0YCP0	5.12,,29851.32
A0A0H0YG72	5.21,,7385.37
A0A0H0YGD0	4.86,,34846.9
A0A0H1NRE3	5.5,,98551.33
A0A0H1XJQ7	5.62,,86143.65
A0A0H2UQ40	4.9,,31650.06
A0A0H2USC0	5.02,,63586.97
A0A0H2USF2	9.82,,12551.21
A0A0H2USF3	9.82,,12581.24
A0A0H2USG1	5,,64859.36
A0A0H2USH9	9.61,,12668.27
A0A0H2USM2	7.99,,60657.04
A0A0H2USP0	9.84,,28445.61
A0A0H2USP5	8.43,,60728.25
A0A0H2USS8	8.57,,60667.21
A0A0H2UWW5	8.44,,34660.07
A0A0H2UWZ6	6.48,,33709.83
A0A0H2UX03	5.28,,93502.16
A0A0H2UX23	9.61,,12571.16
A0A0H2UX29	10.78,,15604.01
A0A0H2UX95	6.82,,26104.41
A0A0H2UXE8	5.51,,118597.07
A0A0H2UXR4	6.18,,55304.9
A0A0H2UXU2	6.32,,48076.08
A0A0H2UXV0	5.38,,58377
A0A0H2UXW2	5.01,,55278.42
A0A0H2UY03	5.24,,66503.17
A0A0H2UY50	4.83,,29343.18
A0A0H2UY62	4.91,,26686.77
A0A0H2UY65	4.98,,59872.02
A0A0H2UY89	5.82,,62032.4
A0A0H2UY99	5.97,,84190.93
A0A0H2UYA8	9.72,,31650.02
A0A0H2UYC2	4.77,,82492.63
A0A0H2UYC3	6.96,,22384.23
A0A0H2UYD2	9.73,,31565.94
A0A0H2UYJ4	9.83,,28322.52
A0A0H2UYP6	6.22,,29795.23
A0A0H2UYV7	6.07,,140532.5
A0A0H2UYY2	7.67,,27974.99
A0A0H2UYY3	8.66,,97534.03
A0A0H2UYY9	9.36,,10756.21
A0A0H2UZ04	5.5,,37521.15
A0A0H2UZ60	9.15,,48214.3
A0A0H2UZ75	7.75,,18539.89
A0A0H2UZI2	9.87,,27509.37
A0A0H2UZL0	6.22,,60313.59
A0A0H2UZM7	9.76,,31671.94
A0A0H2UZP6	5.97,,22910.37
A0A0H2UZP8	5.33,,78427.13
A0A0H2UZQ6	10.1,,40044.96
A0A0H2UZT5	5.31,,72084.85
A0A0H2UZX5	9.7,,31705.05
A0A0H2UZZ8	5.38,,9412.69
A0A0H2V013	5.37,,118027.38
A0A0H2V042	5.66,,51573.78
A0A0H2V062	4.66,,51413.62
A0A0H2V075	9.38,,13642.55
A0A0H2V0B5	9.24,,11486.32
A0A0H2V0C3	5.9,,54107.13
A0A0H2V0C8	9.82,,31672.07
A0A0H2V0D7	9.77,,37323.28
A0A0H2V0E5	8.52,,31154.78
A0A0H2V0F8	9.73,,30528.77
