Protein	Accession	Accession.id
A0A023SJ65		
A0A060GPS0		
A0A072ZCT2		
A0A075N841		
A0A075SC62		
A0A075SF24		
A0A075SGG6		
A0A075SSZ7		
A0A075ST50		
A0A081LXU2		
A0A081M4L4		
A0A086IK37		
A0A098CEL8		
A0A0A7M2I7		
A0A0C4L5N0	NC_012731	http://www.paidb.re.kr/genome_pai.php?gma=NC_012731&m=g
A0A0C7KCY5		
A0A0C7KG64		
A0A0C7KIT7		
A0A0C7KJ69		
A0A0E0U8I2	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0U8Q3	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0U955	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0U9B5	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0U9V4	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0U9W8	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UA00	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UA10	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UA27	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UA41	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UAL9	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UAM6	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UAS4	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UB30	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UB34	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UB51	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UBA4	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UBD5	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UBD6	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UBH9	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UBL6	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UBP0	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UBU7	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
A0A0E0UBV5	NC_017322	http://www.paidb.re.kr/genome_pai.php?gma=NC_017322&m=g
