Protein	ID,,Description
A0A023SJ65	N/A,,N/A
A0A060GPS0	N/A,,N/A
A0A072ZCT2	N/A,,N/A
A0A075N841	N/A,,N/A
A0A075SC62	N/A,,N/A
A0A075SF24	N/A,,N/A
A0A075SGG6	N/A,,N/A
A0A075SSZ7	N/A,,N/A
A0A075ST50	N/A,,N/A
A0A081LXU2	kpx00910,,Nitrogen metabolism;;kpx01120,,Microbial metabolism in diverse environments;;kpx02020,,Two-component system
A0A081M4L4	N/A,,N/A
A0A086IK37	kpb00520,,Amino sugar and nucleotide sugar metabolism;;kpb01130,,Biosynthesis of antibiotics;;kpne00520,,Amino sugar and nucleotide sugar metabolism;;kpne01130,,Biosynthesis of antibiotics;;kpnu00520,,Amino sugar and nucleotide sugar metabolism;;kpnu01130,,Biosynthesis of antibiotics;;kpx00520,,Amino sugar and nucleotide sugar metabolism;;kpx01130,,Biosynthesis of antibiotics
A0A098CEL8	N/A,,N/A
A0A0A7M2I7	N/A,,N/A
A0A0C4L5N0	N/A,,N/A
A0A0C7KCY5	N/A,,N/A
A0A0C7KG64	kpx00480,,Glutathione metabolism;;kpx01100,,Metabolic pathways
A0A0C7KIT7	kpx00250,,Alanine, aspartate and glutamate metabolism;;kpx00280,,Valine, leucine and isoleucine degradation;;kpx00310,,Lysine degradation;;kpx00410,,beta-Alanine metabolism;;kpx00640,,Propanoate metabolism;;kpx00650,,Butanoate metabolism;;kpx01100,,Metabolic pathways;;kpx01120,,Microbial metabolism in diverse environments
A0A0C7KJ69	N/A,,N/A
A0A0E0U8I2	N/A,,N/A
A0A0E0U8Q3	smq00220,,Arginine biosynthesis;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01130,,Biosynthesis of antibiotics;;smq01210,,2-Oxocarboxylic acid metabolism;;smq01230,,Biosynthesis of amino acids
A0A0E0U955	smq00520,,Amino sugar and nucleotide sugar metabolism;;smq00550,,Peptidoglycan biosynthesis;;smq01100,,Metabolic pathways
A0A0E0U9B5	smq02010,,ABC transporters
A0A0E0U9V4	smq00970,,Aminoacyl-tRNA biosynthesis
A0A0E0U9W8	N/A,,N/A
A0A0E0UA00	smq00620,,Pyruvate metabolism;;smq00710,,Carbon fixation in photosynthetic organisms;;smq01100,,Metabolic pathways;;smq01120,,Microbial metabolism in diverse environments;;smq01200,,Carbon metabolism
A0A0E0UA10	N/A,,N/A
A0A0E0UA27	smq03018,,RNA degradation
A0A0E0UA41	N/A,,N/A
A0A0E0UAL9	smq00750,,Vitamin B6 metabolism;;smq01100,,Metabolic pathways
A0A0E0UAM6	smq00230,,Purine metabolism
A0A0E0UAS4	smq00230,,Purine metabolism;;smq00240,,Pyrimidine metabolism;;smq01100,,Metabolic pathways;;smq01110,,Biosynthesis of secondary metabolites;;smq01130,,Biosynthesis of antibiotics
A0A0E0UB30	N/A,,N/A
