Protein	Accession	Accession.id
A0A023SJ65	3.10.350.10	http://www.cathdb.info/superfamily/3.10.350.10
A0A060GPS0	2.60.40.1090	http://www.cathdb.info/superfamily/2.60.40.1090
A0A072ZCT2	1.25.40.10	http://www.cathdb.info/superfamily/1.25.40.10
A0A075N841	2.30.33.40	http://www.cathdb.info/superfamily/2.30.33.40
A0A075SC62	2.30.40.10	http://www.cathdb.info/superfamily/2.30.40.10
A0A075SF24	2.30.40.10	http://www.cathdb.info/superfamily/2.30.40.10
A0A075SGG6	2.30.40.10	http://www.cathdb.info/superfamily/2.30.40.10
A0A075SSZ7	2.30.40.10	http://www.cathdb.info/superfamily/2.30.40.10
A0A075ST50	2.30.40.10	http://www.cathdb.info/superfamily/2.30.40.10
A0A081LXU2	2.30.40.10	http://www.cathdb.info/superfamily/2.30.40.10
A0A081M4L4	2.30.40.10	http://www.cathdb.info/superfamily/2.30.40.10
A0A086IK37	2.30.40.10	http://www.cathdb.info/superfamily/2.30.40.10
A0A098CEL8	3.30.110.60	http://www.cathdb.info/superfamily/3.30.110.60
A0A0A7M2I7	3.20.20.70	http://www.cathdb.info/superfamily/3.20.20.70
A0A0C4L5N0	3.90.550.10	http://www.cathdb.info/superfamily/3.90.550.10
A0A0C7KCY5	3.40.640.10	http://www.cathdb.info/superfamily/3.40.640.10
A0A0C7KG64	1.10.390.10	http://www.cathdb.info/superfamily/1.10.390.10
A0A0C7KIT7	3.40.640.10	http://www.cathdb.info/superfamily/3.40.640.10
A0A0C7KJ69	3.90.550.10	http://www.cathdb.info/superfamily/3.90.550.10
A0A0E0U8I2	2.60.40.790	http://www.cathdb.info/superfamily/2.60.40.790
A0A0E0U8Q3	3.40.1160.10	http://www.cathdb.info/superfamily/3.40.1160.10
A0A0E0U955	3.65.10.10	http://www.cathdb.info/superfamily/3.65.10.10
A0A0E0U9B5	1.10.287.110	http://www.cathdb.info/superfamily/1.10.287.110
A0A0E0U9V4	1.10.287.110	http://www.cathdb.info/superfamily/1.10.287.110
A0A0E0U9W8	1.10.287.110	http://www.cathdb.info/superfamily/1.10.287.110
A0A0E0UA00	3.20.20.60	http://www.cathdb.info/superfamily/3.20.20.60
A0A0E0UA10	3.40.1280.10	http://www.cathdb.info/superfamily/3.40.1280.10
A0A0E0UA27	1.10.560.10	http://www.cathdb.info/superfamily/1.10.560.10
A0A0E0UA41	3.30.2290.10	http://www.cathdb.info/superfamily/3.30.2290.10
A0A0E0UAL9	3.30.70.141	http://www.cathdb.info/superfamily/3.30.70.141
A0A0E0UAM6	3.30.70.141	http://www.cathdb.info/superfamily/3.30.70.141
A0A0E0UAS4	3.30.70.141	http://www.cathdb.info/superfamily/3.30.70.141
A0A0E0UB30	3.40.50.1820	http://www.cathdb.info/superfamily/3.40.50.1820
A0A0E0UB34	3.40.50.1820	http://www.cathdb.info/superfamily/3.40.50.1820
A0A0E0UB51	3.30.70.330	http://www.cathdb.info/superfamily/3.30.70.330
A0A0E0UBA4	1.10.560.10	http://www.cathdb.info/superfamily/1.10.560.10
A0A0E0UBD5	3.40.1160.10	http://www.cathdb.info/superfamily/3.40.1160.10
A0A0E0UBD6	3.40.50.920	http://www.cathdb.info/superfamily/3.40.50.920
A0A0E0UBH9	3.60.15.10	http://www.cathdb.info/superfamily/3.60.15.10
A0A0E0UBL6	1.10.230.10	http://www.cathdb.info/superfamily/1.10.230.10
A0A0E0UBP0	1.10.230.10	http://www.cathdb.info/superfamily/1.10.230.10
A0A0E0UBU7	3.30.1330.10	http://www.cathdb.info/superfamily/3.30.1330.10
A0A0E0UBV5	3.40.640.10	http://www.cathdb.info/superfamily/3.40.640.10
A0A0E0UBX6	3.40.640.10	http://www.cathdb.info/superfamily/3.40.640.10
A0A0E0UC24	4.10.520.10	http://www.cathdb.info/superfamily/4.10.520.10
A0A0E0UCM8	3.30.559.10	http://www.cathdb.info/superfamily/3.30.559.10
A0A0E0UCS0	3.40.1160.10	http://www.cathdb.info/superfamily/3.40.1160.10
A0A0E0UCT0	3.40.1160.10	http://www.cathdb.info/superfamily/3.40.1160.10
A0A0E0UCT8	3.40.1160.10	http://www.cathdb.info/superfamily/3.40.1160.10
A0A0E0UCU7	3.40.1790.10	http://www.cathdb.info/superfamily/3.40.1790.10
A0A0E0UCU9	3.40.1160.10	http://www.cathdb.info/superfamily/3.40.1160.10
A0A0E0UCV1	1.25.40.10	http://www.cathdb.info/superfamily/1.25.40.10
A0A0E0UCX8	1.25.40.10	http://www.cathdb.info/superfamily/1.25.40.10
A0A0E0UCY2	1.10.1610.10	http://www.cathdb.info/superfamily/1.10.1610.10
A0A0E0UD17	1.10.1610.10	http://www.cathdb.info/superfamily/1.10.1610.10
A0A0E0UD69	1.10.275.10	http://www.cathdb.info/superfamily/1.10.275.10
A0A0E0UD90	3.30.1330.10	http://www.cathdb.info/superfamily/3.30.1330.10
A0A0E0UD97	1.20.1560.10	http://www.cathdb.info/superfamily/1.20.1560.10
A0A0E0UDD5	1.20.810.10	http://www.cathdb.info/superfamily/1.20.810.10
A0A0E0UDL4	1.25.40.590	http://www.cathdb.info/superfamily/1.25.40.590
A0A0E0UDW5	2.30.30.220	http://www.cathdb.info/superfamily/2.30.30.220
A0A0E0UEF9	2.170.120.20	http://www.cathdb.info/superfamily/2.170.120.20
A0A0E0UEH3	1.10.10.160	http://www.cathdb.info/superfamily/1.10.10.160
A0A0E0UET8	3.30.1360.120	http://www.cathdb.info/superfamily/3.30.1360.120
A0A0E0UEW7	3.30.1360.120	http://www.cathdb.info/superfamily/3.30.1360.120
A0A0E0UEX4	2.30.170.40	http://www.cathdb.info/superfamily/2.30.170.40
A0A0E0UFF6	2.30.170.40	http://www.cathdb.info/superfamily/2.30.170.40
A0A0E0UFH5	3.90.245.10	http://www.cathdb.info/superfamily/3.90.245.10
A0A0E0UFJ1	3.90.245.10	http://www.cathdb.info/superfamily/3.90.245.10
A0A0E0UFL2	3.90.245.10	http://www.cathdb.info/superfamily/3.90.245.10
A0A0E0UG10	3.90.245.10	http://www.cathdb.info/superfamily/3.90.245.10
A0A0E0UG46	3.90.245.10	http://www.cathdb.info/superfamily/3.90.245.10
A0A0E0UGD4	3.30.1490.20	http://www.cathdb.info/superfamily/3.30.1490.20
A0A0E0UGI2	3.40.50.261	http://www.cathdb.info/superfamily/3.40.50.261
A0A0E0UGL8	3.40.50.261	http://www.cathdb.info/superfamily/3.40.50.261
A0A0E0UH56	3.40.50.261	http://www.cathdb.info/superfamily/3.40.50.261
A0A0E0UHM0	1.20.1560.10	http://www.cathdb.info/superfamily/1.20.1560.10
A0A0E0UHQ8	1.20.1270.10	http://www.cathdb.info/superfamily/1.20.1270.10
A0A0E0UHT8	1.20.1270.10	http://www.cathdb.info/superfamily/1.20.1270.10
A0A0E0UHU9	3.65.10.10	http://www.cathdb.info/superfamily/3.65.10.10
A0A0E0UHV7	3.65.10.10	http://www.cathdb.info/superfamily/3.65.10.10
A0A0E0UI25	3.30.1370.10	http://www.cathdb.info/superfamily/3.30.1370.10
A0A0E0UI36	3.30.1370.10	http://www.cathdb.info/superfamily/3.30.1370.10
A0A0E0UIH3	3.30.1370.10	http://www.cathdb.info/superfamily/3.30.1370.10
A0A0E0UII0	1.10.560.10	http://www.cathdb.info/superfamily/1.10.560.10
A0A0E0UIQ4	1.10.560.10	http://www.cathdb.info/superfamily/1.10.560.10
A0A0E0UJ54	3.30.565.10	http://www.cathdb.info/superfamily/3.30.565.10
A0A0E0UJ98	1.10.560.10	http://www.cathdb.info/superfamily/1.10.560.10
A0A0E0UJC1	1.10.560.10	http://www.cathdb.info/superfamily/1.10.560.10
A0A0E0UKM9	3.30.420.130	http://www.cathdb.info/superfamily/3.30.420.130
A0A0E0UKN7	1.10.10.10	http://www.cathdb.info/superfamily/1.10.10.10
A0A0E0UKP1	1.10.1200.10	http://www.cathdb.info/superfamily/1.10.1200.10
A0A0E0UKY1	3.30.2310.20	http://www.cathdb.info/superfamily/3.30.2310.20
A0A0E0UL81	3.30.2310.20	http://www.cathdb.info/superfamily/3.30.2310.20
A0A0E0ULB5	1.10.10.10	http://www.cathdb.info/superfamily/1.10.10.10
