Protein	Family,,Description
A0A023SJ65	N/A,,N/A
A0A060GPS0	N/A,,N/A
A0A072ZCT2	N/A,,N/A
A0A075N841	N/A,,N/A
A0A075SC62	N/A,,N/A
A0A075SF24	N/A,,N/A
A0A075SGG6	N/A,,N/A
A0A075SSZ7	N/A,,N/A
A0A075ST50	N/A,,N/A
A0A081LXU2	N/A,,N/A
A0A081M4L4	N/A,,N/A
A0A086IK37	N/A,,N/A
A0A098CEL8	N/A,,N/A
A0A0A7M2I7	N/A,,N/A
A0A0C4L5N0	N/A,,N/A
A0A0C7KCY5	N/A,,N/A
A0A0C7KG64	N/A,,N/A
A0A0C7KIT7	N/A,,N/A
A0A0C7KJ69	N/A,,N/A
A0A0E0U8I2	N/A,,N/A
A0A0E0U8Q3	N/A,,N/A
A0A0E0U955	N/A,,N/A
A0A0E0U9B5	N/A,,N/A
A0A0E0U9V4	N/A,,N/A
A0A0E0U9W8	N/A,,N/A
A0A0E0UA00	N/A,,N/A
A0A0E0UA10	N/A,,N/A
A0A0E0UA27	N/A,,N/A
A0A0E0UA41	N/A,,N/A
A0A0E0UAL9	N/A,,N/A
A0A0E0UAM6	N/A,,N/A
A0A0E0UAS4	N/A,,N/A
A0A0E0UB30	N/A,,N/A
A0A0E0UB34	N/A,,N/A
A0A0E0UB51	N/A,,N/A
A0A0E0UBA4	N/A,,N/A
A0A0E0UBD5	N/A,,N/A
A0A0E0UBD6	N/A,,N/A
A0A0E0UBH9	N/A,,N/A
A0A0E0UBL6	N/A,,N/A
A0A0E0UBP0	N/A,,N/A
A0A0E0UBU7	N/A,,N/A
A0A0E0UBV5	N/A,,N/A
A0A0E0UBX6	N/A,,N/A
A0A0E0UC24	N/A,,N/A
A0A0E0UCM8	N/A,,N/A
A0A0E0UCS0	N/A,,N/A
A0A0E0UCT0	N/A,,N/A
A0A0E0UCT8	N/A,,N/A
A0A0E0UCU7	N/A,,N/A
A0A0E0UCU9	N/A,,N/A
A0A0E0UCV1	N/A,,N/A
A0A0E0UCX8	N/A,,N/A
A0A0E0UCY2	N/A,,N/A
A0A0E0UD17	N/A,,N/A
A0A0E0UD69	N/A,,N/A
A0A0E0UD90	N/A,,N/A
A0A0E0UD97	N/A,,N/A
A0A0E0UDD5	N/A,,N/A
A0A0E0UDL4	N/A,,N/A
A0A0E0UDW5	N/A,,N/A
A0A0E0UEF9	N/A,,N/A
A0A0E0UEH3	N/A,,N/A
A0A0E0UET8	N/A,,N/A
A0A0E0UEW7	N/A,,N/A
A0A0E0UEX4	N/A,,N/A
A0A0E0UFF6	N/A,,N/A
A0A0E0UFH5	N/A,,N/A
A0A0E0UFJ1	N/A,,N/A
A0A0E0UFL2	N/A,,N/A
A0A0E0UG10	N/A,,N/A
A0A0E0UG46	N/A,,N/A
A0A0E0UGD4	N/A,,N/A
A0A0E0UGI2	N/A,,N/A
