Protein	Accession	Accession.id
A0A023SJ65	2667	http://mvp.medgenius.info/interactions/phagecluster/3882/microbe/1311
A0A060GPS0	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A072ZCT2		
A0A075N841	2667	http://mvp.medgenius.info/interactions/phagecluster/3882/microbe/1311
A0A075SC62	5347	http://mvp.medgenius.info/interactions/phagecluster/7382/microbe/1214179
A0A075SF24	5347	http://mvp.medgenius.info/interactions/phagecluster/7382/microbe/1214179
A0A075SGG6	5347	http://mvp.medgenius.info/interactions/phagecluster/7382/microbe/1214179
A0A075SSZ7	5347	http://mvp.medgenius.info/interactions/phagecluster/7382/microbe/1214179
A0A075ST50	5347	http://mvp.medgenius.info/interactions/phagecluster/7382/microbe/1214179
A0A081LXU2	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A081M4L4	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A086IK37	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A098CEL8	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A0A7M2I7	701	http://mvp.medgenius.info/interactions/phagecluster/953/microbe/1307
A0A0C4L5N0		
A0A0C7KCY5	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A0C7KG64	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A0C7KIT7	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A0C7KJ69	549	http://mvp.medgenius.info/interactions/phagecluster/559/microbe/573
A0A0E0U8I2	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0U8Q3	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0U955	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0U9B5	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0U9V4	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0U9W8	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0UA00	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0UA10	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0UA27	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0UA41	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0UAL9	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0UAM6	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0UAS4	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
A0A0E0UB30	12565	http://mvp.medgenius.info/interactions/phagecluster/13792/microbe/698936
