Protein	Accession	Accession.id
A0A023SJ65		
A0A060GPS0	K07345	https://www.genome.jp/dbget-bin/www_bget?ko:K07345
A0A072ZCT2		
A0A075N841	K04078	https://www.genome.jp/dbget-bin/www_bget?ko:K04078
A0A075SC62		
A0A075SF24		
A0A075SGG6		
A0A075SSZ7		
A0A075ST50		
A0A081LXU2	K00370	https://www.genome.jp/dbget-bin/www_bget?ko:K00370
A0A081M4L4		
A0A086IK37	K01443	https://www.genome.jp/dbget-bin/www_bget?ko:K01443
A0A098CEL8	K07574	https://www.genome.jp/dbget-bin/www_bget?ko:K07574
A0A0A7M2I7		
A0A0C4L5N0		
A0A0C7KCY5	K14261	https://www.genome.jp/dbget-bin/www_bget?ko:K14261
A0A0C7KG64	K01256	https://www.genome.jp/dbget-bin/www_bget?ko:K01256
A0A0C7KIT7	K07250	https://www.genome.jp/dbget-bin/www_bget?ko:K07250
A0A0C7KJ69		
A0A0E0U8I2		
A0A0E0U8Q3	K00930	https://www.genome.jp/dbget-bin/www_bget?ko:K00930
A0A0E0U955	K00790	https://www.genome.jp/dbget-bin/www_bget?ko:K00790
A0A0E0U9B5	K10553	https://www.genome.jp/dbget-bin/www_bget?ko:K10553
A0A0E0U9V4	K01878	https://www.genome.jp/dbget-bin/www_bget?ko:K01878
A0A0E0U9W8		
A0A0E0UA00	K01006	https://www.genome.jp/dbget-bin/www_bget?ko:K01006
A0A0E0UA10	K09761	https://www.genome.jp/dbget-bin/www_bget?ko:K09761
A0A0E0UA27	K04077	https://www.genome.jp/dbget-bin/www_bget?ko:K04077
A0A0E0UA41	K03592	https://www.genome.jp/dbget-bin/www_bget?ko:K03592
A0A0E0UAL9	K00097	https://www.genome.jp/dbget-bin/www_bget?ko:K00097
A0A0E0UAM6	K01524	https://www.genome.jp/dbget-bin/www_bget?ko:K01524
A0A0E0UAS4	K00940	https://www.genome.jp/dbget-bin/www_bget?ko:K00940
A0A0E0UB30	K02358	https://www.genome.jp/dbget-bin/www_bget?ko:K02358
A0A0E0UB34	K01259	https://www.genome.jp/dbget-bin/www_bget?ko:K01259
A0A0E0UB51	K02892	https://www.genome.jp/dbget-bin/www_bget?ko:K02892
A0A0E0UBA4	K04077	https://www.genome.jp/dbget-bin/www_bget?ko:K04077
A0A0E0UBD5	K07478	https://www.genome.jp/dbget-bin/www_bget?ko:K07478
A0A0E0UBD6	K00162	https://www.genome.jp/dbget-bin/www_bget?ko:K00162
A0A0E0UBH9	K12574	https://www.genome.jp/dbget-bin/www_bget?ko:K12574
A0A0E0UBL6		
A0A0E0UBP0	K01647	https://www.genome.jp/dbget-bin/www_bget?ko:K01647
A0A0E0UBU7	K01933	https://www.genome.jp/dbget-bin/www_bget?ko:K01933
A0A0E0UBV5		
A0A0E0UBX6	K00600	https://www.genome.jp/dbget-bin/www_bget?ko:K00600
A0A0E0UC24	K03530	https://www.genome.jp/dbget-bin/www_bget?ko:K03530
A0A0E0UCM8	K00627	https://www.genome.jp/dbget-bin/www_bget?ko:K00627
A0A0E0UCS0	K01923	https://www.genome.jp/dbget-bin/www_bget?ko:K01923
A0A0E0UCT0	K07390	https://www.genome.jp/dbget-bin/www_bget?ko:K07390
A0A0E0UCT8		
A0A0E0UCU7	K16329	https://www.genome.jp/dbget-bin/www_bget?ko:K16329
A0A0E0UCU9	K09903	https://www.genome.jp/dbget-bin/www_bget?ko:K09903
A0A0E0UCV1	K06918	https://www.genome.jp/dbget-bin/www_bget?ko:K06918
A0A0E0UCX8		
A0A0E0UCY2	K06923	https://www.genome.jp/dbget-bin/www_bget?ko:K06923
A0A0E0UD17	K00768	https://www.genome.jp/dbget-bin/www_bget?ko:K00768
A0A0E0UD69	K01756	https://www.genome.jp/dbget-bin/www_bget?ko:K01756
A0A0E0UD90	K01952	https://www.genome.jp/dbget-bin/www_bget?ko:K01952
A0A0E0UD97	K07552	https://www.genome.jp/dbget-bin/www_bget?ko:K07552
