Protein	Accession
A0A023SJ65	AzCIB_0987
A0A060GPS0	EN72_04450;;DX05_04445
A0A072ZCT2	PMK1_00770;;AGG09_18630;;SK89_04324;;BCB67_01890;;SAMEA3531778_02845
A0A075N841	KIQ_001700
A0A075SC62	EN72_10855;;DX05_10545;;RDF_1936;;ERS039640_01563;;SA111_02188;;TH70_1763
A0A075SF24	ID09_02375
A0A075SGG6	ID09_07985
A0A075SSZ7	ID09_02075
A0A075ST50	ID09_08910
A0A081LXU2	ID09_09160
A0A081M4L4	PMK1_04581
A0A086IK37	PMK1_03052;;AGG09_06085;;SK89_01165;;SM87_01409;;APT98_01990;;BCB67_02975;;SAMEA2273624_00490;;SAMEA3531848_03150;;SAMEA3531778_02089;;SAMEA3531884_00460
A0A098CEL8	PMK1_03032;;AGG09_06190;;SK89_01184;;BCB67_02870;;SAMEA3531778_02069
A0A0A7M2I7	PMK1_01098;;SK89_04683;;SM87_03337;;SAMEA2273624_03263;;SAMEA3531848_04287;;SAMEA3531778_03595;;SAMEA3531884_02818
A0A0C4L5N0	N/A
A0A0C7KCY5	N/A
A0A0C7KG64	PMK1_00232;;AGG09_21775;;SK89_03708;;SAMEA3531778_01601
A0A0C7KIT7	PMK1_03301
A0A0C7KJ69	PMK1_02560
A0A0E0U8I2	PMK1_02171;;BCB67_27235
A0A0E0U8Q3	SinmeB_0047
A0A0E0U955	SinmeB_0072
A0A0E0U9B5	SinmeB_0211
A0A0E0U9V4	SinmeB_0112
A0A0E0U9W8	SinmeB_0463
A0A0E0UA00	SinmeB_0509
A0A0E0UA10	SinmeB_0546
A0A0E0UA27	SinmeB_0385
A0A0E0UA41	SinmeB_0405
A0A0E0UAL9	SinmeB_0420
A0A0E0UAM6	SinmeB_0775
A0A0E0UAS4	SinmeB_0813
A0A0E0UB30	SinmeB_0790
A0A0E0UB34	SinmeB_0966;;SinmeB_0982
A0A0E0UB51	SinmeB_0739
A0A0E0UBA4	SinmeB_0986
A0A0E0UBD5	SinmeB_0822
A0A0E0UBD6	SinmeB_1013
A0A0E0UBH9	SinmeB_1076
A0A0E0UBL6	SinmeB_0908
A0A0E0UBP0	SinmeB_0948
A0A0E0UBU7	SinmeB_1141
A0A0E0UBV5	SinmeB_0809
A0A0E0UBX6	SinmeB_1239
A0A0E0UC24	SinmeB_0834
A0A0E0UCM8	SinmeB_0885
A0A0E0UCS0	SinmeB_1077
