Protein	Entry..Description
A0A023SJ65	
A0A060GPS0	
A0A072ZCT2	
A0A075N841	
A0A075SC62	
A0A075SF24	
A0A075SGG6	
A0A075SSZ7	
A0A075ST50	
A0A081LXU2	
A0A081M4L4	
A0A086IK37	
A0A098CEL8	
A0A0A7M2I7	
A0A0C4L5N0	
A0A0C7KCY5	
A0A0C7KG64	
A0A0C7KIT7	
A0A0C7KJ69	
A0A0E0U8I2	
A0A0E0U8Q3	
A0A0E0U955	
A0A0E0U9B5	
A0A0E0U9V4	
A0A0E0U9W8	
A0A0E0UA00	
A0A0E0UA10	
A0A0E0UA27	
A0A0E0UA41	
A0A0E0UAL9	
A0A0E0UAM6	
A0A0E0UAS4	
A0A0E0UB30	
A0A0E0UB34	
A0A0E0UB51	
A0A0E0UBA4	
A0A0E0UBD5	
A0A0E0UBD6	
A0A0E0UBH9	
A0A0E0UBL6	
A0A0E0UBP0	
A0A0E0UBU7	
A0A0E0UBV5	
A0A0E0UBX6	
A0A0E0UC24	
A0A0E0UCM8	
A0A0E0UCS0	
A0A0E0UCT0	
A0A0E0UCT8	
A0A0E0UCU7	
A0A0E0UCU9	
A0A0E0UCV1	
A0A0E0UCX8	
A0A0E0UCY2	
A0A0E0UD17	
A0A0E0UD69	
A0A0E0UD90	
A0A0E0UD97	
A0A0E0UDD5	
A0A0E0UDL4	
A0A0E0UDW5	
A0A0E0UEF9	
A0A0E0UEH3	
A0A0E0UET8	
A0A0E0UEW7	
A0A0E0UEX4	
A0A0E0UFF6	
A0A0E0UFH5	
A0A0E0UFJ1	
A0A0E0UFL2	
A0A0E0UG10	
A0A0E0UG46	
A0A0E0UGD4	
A0A0E0UGI2	
A0A0E0UGL8	
A0A0E0UH56	
A0A0E0UHM0	
A0A0E0UHQ8	
A0A0E0UHT8	
A0A0E0UHU9	
A0A0E0UHV7	
A0A0E0UI25	
A0A0E0UI36	
A0A0E0UIH3	
A0A0E0UII0	
A0A0E0UIQ4	
A0A0E0UJ54	
A0A0E0UJ98	
A0A0E0UJC1	
A0A0E0UKM9	
A0A0E0UKN7	
A0A0E0UKP1	
A0A0E0UKY1	
A0A0E0UL81	
A0A0E0ULB5	
A0A0E0ULH8	
A0A0E0UN93	
A0A0E0UN97	
A0A0E0UNG4	
A0A0E0UNJ4	
A0A0E0UNP3	
A0A0E0UPG1	
A0A0E0UPL1	
A0A0E0UPR3	
A0A0E0UPR9	
A0A0E0UPX2	
A0A0E0UQ72	
A0A0E0UQG5	
A0A0E0URT6	
A0A0E0UW41	
A0A0E0UWC2	
A0A0E1EET6	
A0A0E1EL42	
A0A0E1EN14	
A0A0E1R974	
A0A0E1Y3Q6	
A0A0E2CSW4	
A0A0E2D3A7	
A0A0E3CNN1	
A0A0E3CRJ7	
A0A0F0JYS2	
A0A0F6P9K5	
A0A0G2PF30	
A0A0G2Q9D4	
A0A0G2Q9D8	
A0A0G2Q9E8	
A0A0G2Q9E9	
A0A0G2Q9F8	
A0A0G2Q9F9	
