Protein	Accession	Accession.id
A0A023SJ65	EN72_04450;DX05_04445	http://ensemblgenomes.org/id/EN72_04450;http://ensemblgenomes.org/id/DX05_04445
A0A060GPS0	PMK1_00770;AGG09_18630;BCB67_01890;SAMEA3531778_02845	http://ensemblgenomes.org/id/PMK1_00770;http://ensemblgenomes.org/id/AGG09_18630;http://ensemblgenomes.org/id/BCB67_01890;http://ensemblgenomes.org/id/SAMEA3531778_02845
A0A072ZCT2	KIQ_001700	http://ensemblgenomes.org/id/KIQ_001700
A0A075N841	EN72_10855;DX05_10545;RDF_1936;ERS039640_01563;SA111_02188	http://ensemblgenomes.org/id/EN72_10855;http://ensemblgenomes.org/id/DX05_10545;http://ensemblgenomes.org/id/RDF_1936;http://ensemblgenomes.org/id/ERS039640_01563;http://ensemblgenomes.org/id/SA111_02188
A0A075SC62	ID09_02375	http://ensemblgenomes.org/id/ID09_02375
A0A075SF24	ID09_07985	http://ensemblgenomes.org/id/ID09_07985
A0A075SGG6	ID09_02075	http://ensemblgenomes.org/id/ID09_02075
A0A075SSZ7	ID09_08910	http://ensemblgenomes.org/id/ID09_08910
A0A075ST50	ID09_09160	http://ensemblgenomes.org/id/ID09_09160
A0A081LXU2	PMK1_04581	http://ensemblgenomes.org/id/PMK1_04581
A0A081M4L4	PMK1_03052;AGG09_06085;SM87_01409;APT98_01990;BCB67_02975	http://ensemblgenomes.org/id/PMK1_03052;http://ensemblgenomes.org/id/AGG09_06085;http://ensemblgenomes.org/id/SM87_01409;http://ensemblgenomes.org/id/APT98_01990;http://ensemblgenomes.org/id/BCB67_02975
A0A086IK37	PMK1_03032;AGG09_06190;BCB67_02870;SAMEA3531778_02069	http://ensemblgenomes.org/id/PMK1_03032;http://ensemblgenomes.org/id/AGG09_06190;http://ensemblgenomes.org/id/BCB67_02870;http://ensemblgenomes.org/id/SAMEA3531778_02069
A0A098CEL8	PMK1_01098;SM87_03337;SAMEA2273624_03263;SAMEA3531848_04287;SAMEA3531778_03595	http://ensemblgenomes.org/id/PMK1_01098;http://ensemblgenomes.org/id/SM87_03337;http://ensemblgenomes.org/id/SAMEA2273624_03263;http://ensemblgenomes.org/id/SAMEA3531848_04287;http://ensemblgenomes.org/id/SAMEA3531778_03595
A0A0A7M2I7		
A0A0C4L5N0		
A0A0C7KCY5	PMK1_00232;AGG09_21775;SAMEA3531778_01601	http://ensemblgenomes.org/id/PMK1_00232;http://ensemblgenomes.org/id/AGG09_21775;http://ensemblgenomes.org/id/SAMEA3531778_01601
A0A0C7KG64	PMK1_03301	http://ensemblgenomes.org/id/PMK1_03301
A0A0C7KIT7	PMK1_02560	http://ensemblgenomes.org/id/PMK1_02560
A0A0C7KJ69	PMK1_02171;BCB67_27235	http://ensemblgenomes.org/id/PMK1_02171;http://ensemblgenomes.org/id/BCB67_27235
A0A0E0U8I2	SinmeB_0047	http://ensemblgenomes.org/id/SinmeB_0047
A0A0E0U8Q3	SinmeB_0072	http://ensemblgenomes.org/id/SinmeB_0072
A0A0E0U955	SinmeB_0211	http://ensemblgenomes.org/id/SinmeB_0211
A0A0E0U9B5	SinmeB_0112	http://ensemblgenomes.org/id/SinmeB_0112
A0A0E0U9V4	SinmeB_0463	http://ensemblgenomes.org/id/SinmeB_0463
A0A0E0U9W8	SinmeB_0509	http://ensemblgenomes.org/id/SinmeB_0509
A0A0E0UA00	SinmeB_0546	http://ensemblgenomes.org/id/SinmeB_0546
A0A0E0UA10	SinmeB_0385	http://ensemblgenomes.org/id/SinmeB_0385
A0A0E0UA27	SinmeB_0405	http://ensemblgenomes.org/id/SinmeB_0405
A0A0E0UA41	SinmeB_0420	http://ensemblgenomes.org/id/SinmeB_0420
A0A0E0UAL9	SinmeB_0775	http://ensemblgenomes.org/id/SinmeB_0775
A0A0E0UAM6	SinmeB_0813	http://ensemblgenomes.org/id/SinmeB_0813
A0A0E0UAS4	SinmeB_0790	http://ensemblgenomes.org/id/SinmeB_0790
A0A0E0UB30	SinmeB_0966;SinmeB_0982	http://ensemblgenomes.org/id/SinmeB_0966;http://ensemblgenomes.org/id/SinmeB_0982
A0A0E0UB34	SinmeB_0739	http://ensemblgenomes.org/id/SinmeB_0739
A0A0E0UB51	SinmeB_0986	http://ensemblgenomes.org/id/SinmeB_0986
A0A0E0UBA4	SinmeB_0822	http://ensemblgenomes.org/id/SinmeB_0822
A0A0E0UBD5	SinmeB_1013	http://ensemblgenomes.org/id/SinmeB_1013
A0A0E0UBD6	SinmeB_1076	http://ensemblgenomes.org/id/SinmeB_1076
A0A0E0UBH9	SinmeB_0908	http://ensemblgenomes.org/id/SinmeB_0908
A0A0E0UBL6	SinmeB_0948	http://ensemblgenomes.org/id/SinmeB_0948
A0A0E0UBP0	SinmeB_1141	http://ensemblgenomes.org/id/SinmeB_1141
A0A0E0UBU7	SinmeB_0809	http://ensemblgenomes.org/id/SinmeB_0809
A0A0E0UBV5	SinmeB_1239	http://ensemblgenomes.org/id/SinmeB_1239
A0A0E0UBX6	SinmeB_0834	http://ensemblgenomes.org/id/SinmeB_0834
A0A0E0UC24	SinmeB_0885	http://ensemblgenomes.org/id/SinmeB_0885
A0A0E0UCM8	SinmeB_1077	http://ensemblgenomes.org/id/SinmeB_1077
A0A0E0UCS0	SinmeB_1521	http://ensemblgenomes.org/id/SinmeB_1521
A0A0E0UCT0	SinmeB_1531	http://ensemblgenomes.org/id/SinmeB_1531
A0A0E0UCT8	SinmeB_1541	http://ensemblgenomes.org/id/SinmeB_1541
A0A0E0UCU7	SinmeB_1551	http://ensemblgenomes.org/id/SinmeB_1551
A0A0E0UCU9	SinmeB_1128	http://ensemblgenomes.org/id/SinmeB_1128
A0A0E0UCV1	SinmeB_1556	http://ensemblgenomes.org/id/SinmeB_1556
A0A0E0UCX8	SinmeB_1625	http://ensemblgenomes.org/id/SinmeB_1625
A0A0E0UCY2	SinmeB_1169	http://ensemblgenomes.org/id/SinmeB_1169
A0A0E0UD17	SinmeB_1633	http://ensemblgenomes.org/id/SinmeB_1633
A0A0E0UD69	SinmeB_1508	http://ensemblgenomes.org/id/SinmeB_1508
A0A0E0UD90	SinmeB_1528	http://ensemblgenomes.org/id/SinmeB_1528
A0A0E0UD97	SinmeB_1533	http://ensemblgenomes.org/id/SinmeB_1533
A0A0E0UDD5	SinmeB_1568	http://ensemblgenomes.org/id/SinmeB_1568
A0A0E0UDL4	SinmeB_1849	http://ensemblgenomes.org/id/SinmeB_1849
A0A0E0UDW5	SinmeB_1955	http://ensemblgenomes.org/id/SinmeB_1955
A0A0E0UEF9	SinmeB_2181	http://ensemblgenomes.org/id/SinmeB_2181
A0A0E0UEH3	SinmeB_1966	http://ensemblgenomes.org/id/SinmeB_1966
A0A0E0UET8	SinmeB_2230	http://ensemblgenomes.org/id/SinmeB_2230
A0A0E0UEW7	SinmeB_2350	http://ensemblgenomes.org/id/SinmeB_2350
A0A0E0UEX4	SinmeB_2312	http://ensemblgenomes.org/id/SinmeB_2312
A0A0E0UFF6	SinmeB_2500	http://ensemblgenomes.org/id/SinmeB_2500
A0A0E0UFH5	SinmeB_2484	http://ensemblgenomes.org/id/SinmeB_2484
A0A0E0UFJ1	SinmeB_2504	http://ensemblgenomes.org/id/SinmeB_2504
A0A0E0UFL2	SinmeB_2565	http://ensemblgenomes.org/id/SinmeB_2565
A0A0E0UG10	SinmeB_2294	http://ensemblgenomes.org/id/SinmeB_2294
A0A0E0UG46	SinmeB_2735	http://ensemblgenomes.org/id/SinmeB_2735
A0A0E0UGD4	SinmeB_2882	http://ensemblgenomes.org/id/SinmeB_2882
A0A0E0UGI2	SinmeB_2636	http://ensemblgenomes.org/id/SinmeB_2636
A0A0E0UGL8	SinmeB_2676	http://ensemblgenomes.org/id/SinmeB_2676
A0A0E0UH56	SinmeB_2881	http://ensemblgenomes.org/id/SinmeB_2881
A0A0E0UHM0	SinmeB_3267	http://ensemblgenomes.org/id/SinmeB_3267
